"Izquierda","Derecha","Actor","Mismo_Padre","Caracteres_Izquierda","Caracteres_Derecha","Fuente_Izquierda","Fuente_Derecha","Motivos_Izquierda","Motivos_Derecha","Indicadores","Estado","Estado_Lote3"
"RPM-2010-09-16:3421:5","RPM-2010-09-16:3421:6","José De Gregorio Rebeco","True","108","797","SUJETO_ROL_NOMBRE","CONTEXTO_REVISADO","","","BARRERA_LEXICA_IZQUIERDA;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2010-10-14:3439:2","RPM-2010-10-14:3439:3","Felipe Jaque","True","390","1955","CONTEXTO_REVISADO","SUJETO_NOMBRE","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","ENLACE_RESPALDADO_POR_LECTURA"
"RPM-2010-11-16:3572:1","RPM-2010-11-16:3572:2","José De Gregorio Rebeco","True","102","235","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2010-11-16:3575:1","RPM-2010-11-16:3575:2","José De Gregorio Rebeco","True","120","181","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","FINAL_SIN_PUNTUACION","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2011-01-13:3646:2","RPM-2011-01-13:3646:3","Sergio Lehmann Beresi","True","84","1168","CONTEXTO_REVISADO","SUJETO_NOMBRE","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","RESERVA_CONFIRMACION_NO_TRANSCRITA"
"RPM-2011-06-14:4109:1","RPM-2011-06-14:4109:2","José De Gregorio Rebeco","True","124","181","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","FINAL_SIN_PUNTUACION","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2011-09-15:4332:1","RPM-2011-09-15:4333:1","José De Gregorio Rebeco","False","3732","145","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2011-11-15:4453:1","RPM-2011-11-15:4453:2","José De Gregorio Rebeco","True","448","227","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2011-12-13:4507:1","RPM-2011-12-13:4507:2","Rodrigo Vergara Montes","True","132","227","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","DUPLICADO_NO_FORMULA","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2012-03-15:4722:1","RPM-2012-03-15:4722:2","Rodrigo Vergara Montes","True","119","239","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
