"Izquierda","Derecha","Actor","Mismo_Padre","Caracteres_Izquierda","Caracteres_Derecha","Fuente_Izquierda","Fuente_Derecha","Motivos_Izquierda","Motivos_Derecha","Indicadores","Estado","Estado_Lote3"
"RPM-2008-12-11:2203:1","RPM-2008-12-11:2204:1","José De Gregorio Rebeco","False","150","179","SUJETO_ROL_SESION","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2009-03-12:2430:1","RPM-2009-03-12:2431:1","Beltrán de Ramón Acevedo","False","4002","1060","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","POSIBLE_OTRO_HABLANTE_O_MENCION","","POSIBLE_OTRA_VOZ","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2009-08-13:2661:6","RPM-2009-08-13:2661:7","Sergio Lehmann Beresi","True","49","1322","CONTEXTO_REVISADO","SUJETO_ROL_SESION","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","RESERVA_CONFIRMACION_NO_TRANSCRITA"
"RPM-2009-08-13:2685:2","RPM-2009-08-13:2685:3","Enrique Marshall Rivera","True","139","6624","CONTEXTO_REVISADO","SUJETO_NOMBRE","DUPLICADO_NO_FORMULA","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2009-09-08:2695:2","RPM-2009-09-08:2695:3","Claudio Soto Gamboa","True","433","1020","CONTEXTO_REVISADO","SUJETO_NOMBRE","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","ENLACE_RESPALDADO_POR_LECTURA"
"RPM-2009-10-13:2754:2","RPM-2009-10-13:2754:3","Enrique Marshall Rivera","True","732","2603","CONTEXTO_REVISADO","SUJETO_NOMBRE","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","ENLACE_RESPALDADO_POR_LECTURA"
"RPM-2009-11-12:2778:2","RPM-2009-11-12:2778:3","Claudio Soto Gamboa","True","803","1810","CONTEXTO_REVISADO","SUJETO_NOMBRE","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","ENLACE_RESPALDADO_POR_LECTURA"
"RPM-2009-11-12:2788:1","RPM-2009-11-12:2788:2","José De Gregorio Rebeco","True","126","182","SUJETO_ROL_NOMBRE","CONTEXTO_REVISADO","","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2009-11-12:2788:5","RPM-2009-11-12:2789:1","Claudio Soto Gamboa","False","407","3081","CONTEXTO_REVISADO","SUJETO_NOMBRE","TEXTO_DANADO_POR_COTEJAR","","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2009-11-12:2789:1","RPM-2009-11-12:2790:1","Claudio Soto Gamboa","False","3081","594","SUJETO_NOMBRE","CONTEXTO_REVISADO","","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
