"ID_Intervencion","ID_Padre","Fecha","Actor_Izquierda","Actor_Derecha","Estado_Lectura","Revision_ID","Motivo_Original","Reservas","Final_Izquierda","Inicio_Derecha"
"RPM-2009-06-16:2588:1","2588","2009-06-16","Sebastián Claro Edwards","Claudio Soto Gamboa","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Consejero señor Sebastián Claro consulta acerca del porcentaje del alza de los combustibles que se explicará por el impuesto específico que se está postergando,","a lo que el Gerente de Análisis Macroeconómico responde que debería subir 2,5%, esto es, una UTM o experimentar aumentos del orden de 50 pesos, luego de lo cual existirían otros del orden de 50 ó 70 pesos, aproximadamente, que se traducen e"
"RPM-2009-06-16:2591:4","2591","2009-06-16","Manuel Marfán Lewis","Kevin Cowan Logan","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Consejero Manuel Marfán consulta si se ha realizado una discusión parecida en cuanto a la tasa mínima de política en otros países,","a lo cual el señor Kevin Cowan responde que ello se ha efectuado en Canadá, país que tuvo exactamente los mismos problemas que Chile respecto de los intermediarios del mercado, los que dependían esencialmente del resultado de la estructura "
"RPM-2009-07-09:2608:4","2608","2009-07-09","Andrés Velasco Brañes","Jorge Desormeaux Jiménez","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El señor Velasco acota que para que eso sea posible, el crecimiento debe ser de dos dígitos, por lo menos,","a lo cual el señor Vicepresidente añade que, de acuerdo a algunos bancos de inversión, China ya estarla creciendo a más de 10% a tasa secuencial en el segundo trimestre,"
"RPM-2009-07-09:2608:5","2608","2009-07-09","Jorge Desormeaux Jiménez","Sergio Lehmann Beresi","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","a lo cual el señor Vicepresidente añade que, de acuerdo a algunos bancos de inversión, China ya estarla creciendo a más de 10% a tasa secuencial en el segundo trimestre,","y el señor Lehmann agrega que China es la economía que está liderando las proyecciones hacia el alza e impulsando particularmente el crecimiento en Asia, y que ello es coherente con lo que están proyectando también el Fondo Monetario Intern"
"RPM-2009-07-09:2613:2","2613","2009-07-09","Pablo García Silva","Manuel Marfán Lewis","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","s, y que sólo luego de un par de trimestres se podría constatar si ello es sostenible o no por el lado de la demanda más perdurable. En su opinión, si se aprecia que el aumento no ha retomado mucho dinamismo, se puede dar un segundo rebote,","a lo cual el Consejero señor Marfán sostiene que el efecto de inventarios sería, en tal caso, un greenshoot."
"RPM-2009-07-09:2620:3","2620","2009-07-09","Manuel Marfán Lewis","Pablo García Silva","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","evó considerablemente y que, incluso, este muchas veces ha quedado obsoleto antes de un mes. En su opinión, ahora se debería abandonar el escenario de crecimiento del IPoM, y consulta si el staff Wer\e alguna percepción en el mismo sentido,","a lo cual el señor Pablo García señala que, a su juicio, es lo que correspondería hacer y precisa que la pregunta relevante es si ello se quiere transmitir o no."
"RPM-2009-07-09:2624:2","2624","2009-07-09","Claudio Soto Gamboa","José De Gregorio Rebeco","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","es subyacentes, como el IPCX1, tuvieron variaciones negativas en el mes, de -0,2%. A una consulta formulada por el Ministro de Hacienda, el señor Claudio Soto responde que el IPC en doce meses alcanzó a estar solo un mes dentro de la banda,","a lo cual el Presidente señor José De Gregorio agregó que el Banco considera que el promedio sea de 3%, por lo que habría que compensar un 9,9%."
"RPM-2009-07-09:2627:2","2627","2009-07-09","José De Gregorio Rebeco","Kevin Cowan Logan","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","as del BCP-5, y sería deseable sujetarlas a la trayectoria de esa tasa lo que estima de relevancia obtener. Asimismo, consulta acerca de la fecha en que se difundirá la Encuesta de Crédito, por proporcionar información muy útil al respecto,","a lo cual el señor Kevin Cowan indica que la encuesta se efectuó la última semana de junio, por lo que se dispondrá de ella dentro de dos semanas."
"RPM-2009-07-09:2644:1","2644","2009-07-09","José De Gregorio Rebeco","Luis Felipe Céspedes Cifuentes","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Presidente concede la palabra al Gerente de Investigación Económica, señor Luis Felipe Céspedes,","quien comienza su exposición señalando que así como fue discutido en la sesión de la mañana y tal como lo indica la Minuta de Opciones, es necesario imprimir un impulso monetario adicional al ya contemplado en el escenario central del IPoM "
"RPM-2009-08-13:2661:1","2661","2009-08-13","Andrés Velasco Brañes","Sergio Lehmann Beresi","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Ministro de Hacienda pregunta si la ponderación entre países latinoamericanos también es a PPP,","a lo cual el señor Lehmann responde que para efectos de las agrupaciones también lo es a PPP. En el caso del año 2010, añade que las revisiones son bien marginales y bastante homogéneas en el grupo de países presentados"
"RPM-2009-08-13:2661:5","2661","2009-08-13","Jorge Desormeaux Jiménez","Sergio Lehmann Beresi","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El señor Desormeaux acota que hay que tomar debida nota de que en las últimas dos o tres semanas ha habido un cambio de sentimiento significativo, que no está considerado en el Informe del FMI,","acotación que es confirmada por el señor Lehmann."
"RPM-2009-08-13:2661:8","2661","2009-08-13","Andrés Velasco Brañes","José De Gregorio Rebeco","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Ministro señor Velasco pregunta qué relación tienen los flujos del mercado laboral con la productividad,","a lo cual el Presidente señor De Gregorio responde que, dado que la PTF es un residuo, el flujo de inmigración tiene que ver con la composición de la fuerza de trabajo, con el capital humano. Explica que si los inmigrantes tienen habilidade"
"RPM-2009-08-13:2661:10","2661","2009-08-13","Andrés Velasco Brañes","Sergio Lehmann Beresi","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El efecto debiera ser menor y al revés, acota el Ministro,","y el señor Lehmann complementa que será necesario afinar el análisis."
"RPM-2009-08-13:2666:2","2666","2009-08-13","Andrés Velasco Brañes","Sergio Lehmann Beresi","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Ministro consulta si esos rendimientos son de bonos del gobierno o si hay algún riesgo de premio privado,","a lo cual el señor Lehmann responde que existen tasas de nesgo a distintos periodos En todo caso, el Gerente señor Lehmann hace presente que lo que se está observando es que las pendientes de las curvas han estado subiendo y que el aumento "
"RPM-2009-09-08:2696:2","2696","2009-09-08","Jorge Desormeaux Jiménez","Claudio Soto Gamboa","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","Al respecto, el señor Vicepresidente hace presente que la huelga de Aduanas pudo haber afectado esos datos,","a lo cual el señor Soto aclara que, en materia de importaciones, siempre hay bastante volatilidad, debiendo subrayarse que los últimos datos son claramente mejores que los observados a comienzos de año. En materia de percepción de los empre"
"RPM-2009-09-08:2696:4","2696","2009-09-08","José De Gregorio Rebeco","Claudio Soto Gamboa","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","Respecto de la velocidad, el señor Presidente señala entender que se han tenido variaciones trimestrales negativas durante cuatro trimestres seguidos, es decir, a partir del segundo del 2008,","a lo cual el señor Claudio Soto menciona que el -1,6% corresponde a una variación positiva del orden de 6%. Por el lado de la demanda, el señor Gerente de Análisis Macroeconómico informa que hay una acumulación de existencias que se va corr"
"RPM-2009-09-08:2696:5","2696","2009-09-08","Claudio Soto Gamboa","Manuel Marfán Lewis","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","existencias que se va corrigiendo de aquí hacia fines del horizonte. Recalca que en el presente trimestre se produce una desacumulación de existencias respecto del PIB más intensa, estimándose que esta sería menos aguda de aquí en adelante,","El Consejero señor Manuel Marfán consulta qué ocurre con la demanda interna sin la variación de existencias."
