"ID_Anterior","ID_Nuevo","ID_Padre","Parte","Inicio_En_Fila_Anterior","Fin_En_Fila_Anterior","SHA256_Texto"
"RPM-2013-02-14:5339:1","RPM-2013-02-14:5339:1","5339","INTEGRA","0","2238","ad23f2ba88cef55b7bc65e5a70877f82e0d311e5a412f0a3c4018bf730751c7b"
"RPM-2013-02-14:5340:1","RPM-2013-02-14:5340:1","5340","INTEGRA","0","218","f092808d7d6f29d1f6bbb31e8ea12b28eb845639a231f3f941402bc3eee556ca"
"RPM-2013-02-14:5341:1","RPM-2013-02-14:5341:1","5341","INTEGRA","0","219","a678c349e0024a52737a33e60f4c0abea5032944ca4b529ddb8e71db2f2b479d"
"RPM-2013-02-14:5342:1","RPM-2013-02-14:5342:1","5342","INTEGRA","0","757","62e14e5f57dbaebd99ff39a36b9c3f53a0a12b6f452abd3a55fb354083249935"
"RPM-2013-02-14:5343:1","RPM-2013-02-14:5343:1","5343","INTEGRA","0","346","38ec8506ca3c0802b4f6972fd3d9ab8d959cce0132a27249a578011c0b062570"
"RPM-2013-02-14:5344:1","RPM-2013-02-14:5344:1","5344","INTEGRA","0","334","7e6fe8759fd6f1e92966402f52a1f50731b1ce91bb3b7b252ab2f16766b83d8c"
"RPM-2013-02-14:5345:1","RPM-2013-02-14:5345:1","5345","INTEGRA","0","278","15cc0b97fa8c2a18fb402b386717c48b4e1397b7cddfd75ec46ac5a927cc4833"
"RPM-2013-02-14:5346:1","RPM-2013-02-14:5346:1","5346","INTEGRA","0","854","611113b530bb52e129d5896c04d4c5aee759b7e85025d006b4fd5d133ed9574f"
"RPM-2013-02-14:5347:1","RPM-2013-02-14:5347:1","5347","INTEGRA","0","245","e27a8065d4a226077d9608f3bff7816b32cae1115a7156e9ed06b47a9f8f6eef"
"RPM-2013-02-14:5347:2","RPM-2013-02-14:5347:2","5347","INTEGRA","0","354","e5fe4e1607c2b8bccf3eee0382f1418e7389043a62857619d0d0379432e16ef0"
"RPM-2013-02-14:5347:3","RPM-2013-02-14:5347:3","5347","INTEGRA","0","397","45ddd335c766951a2376b16c10d5732701e611b85e255be39301cbf7b20e6b79"
"RPM-2013-02-14:5348:1","RPM-2013-02-14:5348:1","5348","INTEGRA","0","351","cad1ac58b133968776af9e2315e8ec3762d31b4175591d38f4435c741356d157"
"RPM-2013-02-14:5349:1","RPM-2013-02-14:5349:1","5349","INTEGRA","0","600","72e3fd99dbde33290a9b09f27cad357fc348656a3a4380f1dbd360a1bd3b28ee"
"RPM-2013-02-14:5349:2","RPM-2013-02-14:5349:2","5349","INTEGRA","0","373","2cd524af7705e2f97cf31a153a856a22dab679b473942e7237b5b1f659663ebe"
"RPM-2013-02-14:5349:3","RPM-2013-02-14:5349:3","5349","INTEGRA","0","4168","737f75dbe41b171e49b0eecfa66fbbc7774acd56b54f20b6d39ddefae8a6b4a6"
"RPM-2013-02-14:5350:1","RPM-2013-02-14:5350:1","5350","INTEGRA","0","116","234d569fb93efd6b7c3fda4ab59bfcab844ccad48912de0106059a3068b0e839"
"RPM-2013-02-14:5351:1","RPM-2013-02-14:5351:1","5351","INTEGRA","0","1697","7e812c179cee9070401170c7239c6d40a01fd8a661d7631240becaaa7cae8c79"
"RPM-2013-02-14:5352:1","RPM-2013-02-14:5352:1","5352","INTEGRA","0","224","295b3df65de6743807da2c009ef8d0796b5a4d27ff37b87bfc900cc4347944fe"
"RPM-2013-02-14:5352:2","RPM-2013-02-14:5352:2","5352","INTEGRA","0","1039","0c8b2d39e02e89d908be8bb99eaafc2a6b597bde1532fafdd5682cd454218057"
"RPM-2013-02-14:5353:1","RPM-2013-02-14:5353:1","5353","INTEGRA","0","693","f65f8bb8af52b3de83287547c87f49ebe576a6ee2caca8e2b479c6903cb76012"
"RPM-2013-02-14:5354:1","RPM-2013-02-14:5354:1","5354","INTEGRA","0","476","2e4e3db118f19782a0bc478f84933f4d2b664d523d7ab52d90ac773a679e67a1"
"RPM-2013-02-14:5355:1","RPM-2013-02-14:5355:1","5355","INTEGRA","0","2580","a179f3c3f21b5b103247069e491e756f924648008843db68add1fb87646fda7c"
"RPM-2013-02-14:5356:1","RPM-2013-02-14:5356:1","5356","INTEGRA","0","1686","4c00fb770d2b1e47c70f3dc8bb6668ac3f6d85ea36ec2ed9b44b32738cad143d"
"RPM-2013-02-14:5357:1","RPM-2013-02-14:5357:1","5357","INTEGRA","0","656","7d09900a6d5a4fcbf29e78053606809063217115714e313c54033982cc51f87c"
"RPM-2013-02-14:5358:1","RPM-2013-02-14:5358:1","5358","INTEGRA","0","1727","881cf9e722701e5127ed11c5006a3d804e8e1e4ea2903ab44dc06a1e76d67366"
"RPM-2013-02-14:5359:1","RPM-2013-02-14:5359:1","5359","INTEGRA","0","810","5be4b419eb50073db3f5a100d641d5f7196e430345317560e443b0d8f35d767b"
"RPM-2013-02-14:5360:1","RPM-2013-02-14:5360:1","5360","INTEGRA","0","1734","232a1069fb61b243f2415b9fc204fd70a327b5bba56f014524459cc57faa7cf5"
"RPM-2013-02-14:5360:2","RPM-2013-02-14:5360:2","5360","INTEGRA","0","250","26834c08e3c746eff4af67b15b7daa973454dbf8ad40c2c9780cdc81d6778900"
"RPM-2013-02-14:5361:1","RPM-2013-02-14:5361:1","5361","INTEGRA","0","3733","4a746bfcf9db70e4139671f7d8ca71400f3ef7f9e75e89bab92acf696571699e"
"RPM-2013-02-14:5362:1","RPM-2013-02-14:5362:1","5362","INTEGRA","0","187","a85ce64ceb3544d65164208374df37431bbbf57dbb21caae5a73b90bd150f634"
"RPM-2013-02-14:5363:1","RPM-2013-02-14:5363:1","5363","INTEGRA","0","316","a06e82f7f895bfc24e55d44643ea0b972ea000e26fd483094fd5ab6114c67d26"
"RPM-2013-02-14:5364:1","RPM-2013-02-14:5364:1","5364","INTEGRA","0","465","4c938b38f9b1898c522ca07d923327892c7acb37d14b78640da46908d1fdd672"
"RPM-2013-02-14:5365:1","RPM-2013-02-14:5365:1","5365","INTEGRA","0","636","8847290247e86eda4cea3823b1cc1f4c5b9d07d339b5aa3bb65512e5b6fee0fc"
"RPM-2013-02-14:5366:1","RPM-2013-02-14:5366:1","5366","INTEGRA","0","1169","cf244f73ca97ac845ae263f11bad132cbeed01f6f14e1d7683e0d61c49f5e45f"
"RPM-2013-02-14:5366:2","RPM-2013-02-14:5366:2","5366","INTEGRA","0","468","c1bb8f099424d67e15270647d4cfcbc0f2145eef9db6ae6d3cf98f39923e6585"
"RPM-2013-02-14:5367:1","RPM-2013-02-14:5367:1","5367","INTEGRA","0","2995","a408a0e07a035b9c142c60de38d13a853e57f1742cd621b316e1f54ad0f8bd5d"
"RPM-2013-02-14:5367:2","RPM-2013-02-14:5367:2","5367","INTEGRA","0","409","e91f3884b024643d215263e157b964a202d2e0aa94798370eaaaa0953e3f8360"
"RPM-2013-02-14:5367:3","RPM-2013-02-14:5367:3","5367","INTEGRA","0","223","ce575b066acaa9276683974d309fe82833776d5c87ed1a207a6be14f6f6aadf9"
"RPM-2013-02-14:5367:4","RPM-2013-02-14:5367:4","5367","INTEGRA","0","314","d472e8236e297e3990d3717cdbf71fa1c4ee1744ec60b081e58a9039e2304694"
"RPM-2013-02-14:5368:1","RPM-2013-02-14:5368:1","5368","INTEGRA","0","264","f0af0fcff5643fd548f337e895ef363320fa7e4449da49d859a68b63d150fafa"
"RPM-2013-02-14:5368:2","RPM-2013-02-14:5368:2","5368","INTEGRA","0","1121","aeb423a6941c129558ff88b98ffb4c153fdab6bdf181ae2f7265dcfe93d5fe2e"
"RPM-2013-02-14:5369:1","RPM-2013-02-14:5369:1","5369","INTEGRA","0","317","379c9e3b3c5153334f2f57df7a4d92040ccbdf6d869c17643c4adbd0a70669da"
"RPM-2013-02-14:5370:1","RPM-2013-02-14:5370:1","5370","INTEGRA","0","861","ba2e23ac5172940f4b62ec6d094003b2a6455f39dd4cf49d5928e9e9d438dc2a"
"RPM-2013-02-14:5371:1","RPM-2013-02-14:5371:1","5371","INTEGRA","0","162","d938b68390cad6573b4fa017fcaef4b4e07b686c9f07c672c22e3c1313ca970d"
"RPM-2013-02-14:5372:1","RPM-2013-02-14:5372:1","5372","INTEGRA","0","603","62389e3945431e40221154643910f65d7f5190bf3dd1fd11e0aca9195c64b7e8"
"RPM-2013-02-14:5373:1","RPM-2013-02-14:5373:1","5373","INTEGRA","0","178","c27569b431c46f832e0efa5705c3ab124abba7bf4dc56bdd0813e8fccbeddc03"
"RPM-2013-02-14:5374:1","RPM-2013-02-14:5374:1","5374","INTEGRA","0","640","e38b8420498a490c910f5fc9f83fdca3d9732a4197ab32cf8328d2680f8eedc3"
"RPM-2013-02-14:5375:1","RPM-2013-02-14:5375:1","5375","INTEGRA","0","824","ec9645431db9e6bcf87047f077aa489368d020353c249af16d0a505a9f0f7e7c"
"RPM-2013-02-14:5376:1","RPM-2013-02-14:5376:1","5376","INTEGRA","0","4816","c47abe0fdbd14d308eb107e5110a88b734c6c3749e45f1795135ea098525f167"
"RPM-2013-02-14:5377:1","RPM-2013-02-14:5377:1","5377","INTEGRA","0","211","13a5a4552a30f7b7ba4f7300b84aa2656b3be45541213436a9191f1c138922f7"
"RPM-2013-02-14:5378:1","RPM-2013-02-14:5378:1","5378","INTEGRA","0","2230","4cdf0084ec0cc460229f7dc5ba2bc9e965eea2f1a63fd26ed49055d9bba065c8"
"RPM-2013-02-14:5379:1","RPM-2013-02-14:5379:1","5379","INTEGRA","0","216","074bd5b11b9f0379339ce90bccec7676abf97764a958af67a7bc0febf4c912b8"
"RPM-2013-02-14:5379:2","RPM-2013-02-14:5379:2","5379","INTEGRA","0","414","7cae73ffce8dd1cb410bc69cc085fe230c1768610015f6c6d3d47fbcdb183e17"
"RPM-2013-02-14:5380:1","RPM-2013-02-14:5380:1","5380","INTEGRA","0","1536","b543ad7c7a719435d9ff3bb5fbd76a8880305f58fa39134791487406968d051f"
"RPM-2013-02-14:5381:1","RPM-2013-02-14:5381:1","5381","INTEGRA","0","340","3f79a13e4101a25851f662cacd8d6abd838bb75d3af6c6f2e295cef1f45835e0"
"RPM-2013-02-14:5381:2","RPM-2013-02-14:5381:2","5381","INTEGRA","0","145","3307c3c8bdd4ff5cee87f53b6ff678889df14b0d5d05adab31a8507792f383c9"
"RPM-2013-02-14:5381:3","RPM-2013-02-14:5381:3","5381","INTEGRA","0","345","823acc7359c18f913fc64defbd6e322b9773f360a743802ea6d45ffc17eb3e50"
"RPM-2013-02-14:5382:1","RPM-2013-02-14:5382:1","5382","INTEGRA","0","1627","81d007d2d5a244e4bc59fde82a4fd087a0bb9b7b9f144960a4a90fe4a434e7bf"
"RPM-2013-02-14:5383:1","RPM-2013-02-14:5383:1","5383","INTEGRA","0","2190","7fdd1d7fafb29f4aea94a2f6395fcb79075302d273be04f3b0ac850c2d56cd14"
"RPM-2013-02-14:5384:1","RPM-2013-02-14:5384:1","5384","INTEGRA","0","2912","50e23bdd4937e2a72b1686f9f23a7dc7ff31135be2d1ed1ed7540d3f442e20c9"
"RPM-2013-02-14:5385:1","RPM-2013-02-14:5385:1","5385","INTEGRA","0","229","ddd2b440e0304a067c1125e92152396bd92e86b61eb458e0c378e8febd37321a"
"RPM-2013-02-14:5386:1","RPM-2013-02-14:5386:1","5386","INTEGRA","0","321","8ebd3784691627b8bb84ed501364c384687aad31f2c4f92ca97a7be2fe71a805"
"RPM-2013-02-14:5387:1","RPM-2013-02-14:5387:1","5387","INTEGRA","0","6523","dde38ebaf61163fe1cfcadcc8bbd4d598d3808ff268e2a01cf2721871fd28f30"
"RPM-2013-02-14:5388:1","RPM-2013-02-14:5388:1","5388","INTEGRA","0","337","a09ff7b40060c333b8e77ec9ed6dc71ecf7acfc32800324a1000e3b00054d9d0"
"RPM-2013-02-14:5389:1","RPM-2013-02-14:5389:1","5389","INTEGRA","0","3534","16e45c954f6a84890b4eff531779fa6b08bb6cc8055b8980017abebac9914470"
"RPM-2013-02-14:5390:1","RPM-2013-02-14:5390:1","5390","INTEGRA","0","167","17002f43aa7bf1f5de49a163bdeb18ba86ec686c498a31446b25709318f67de5"
"RPM-2013-02-14:5391:1","RPM-2013-02-14:5391:1","5391","INTEGRA","0","3548","e0e9da1dd5e08aa7491fa085f5f80f43f31fde38588f1c6fe581929ee2f4b852"
"RPM-2013-02-14:5392:1","RPM-2013-02-14:5392:1","5392","INTEGRA","0","184","8a130878b646c24a588a5aee3803d2939edfe78ea3086e083fb588ac6f129cac"
"RPM-2013-02-14:5393:1","RPM-2013-02-14:5393:1","5393","INTEGRA","0","4462","d3760f740022224d278540b2b7551d839dba70f6dfdc713b61d7237e7a485cfa"
"RPM-2013-02-14:5394:1","RPM-2013-02-14:5394:1","5394","INTEGRA","0","174","0fdbceb0bad4096d73d76defb34861c572e95ba5ce40a5c9d3d20956cbbf20bf"
"RPM-2013-02-14:5395:1","RPM-2013-02-14:5395:1","5395","INTEGRA","0","3342","963ef3b5df64aff6d21b951d23bf546449e6ea96f34b9fe94b385d610046a955"
"RPM-2013-02-14:5396:1","RPM-2013-02-14:5396:1","5396","INTEGRA","0","433","eadd27e7f0c0350d15e1c52bd2b093765c34b259bfd3e80fea40eedb2b0af826"
"RPM-2013-02-14:5397:1","RPM-2013-02-14:5397:1","5397","INTEGRA","0","2722","6916ec4b5d88c7c80f9fb09aab6895239bd892b2f50a07294275705f7b247097"
"RPM-2013-02-14:5398:1","RPM-2013-02-14:5398:1","5398","PERSONAL","0","2371","c7de0a4338497cc6658fa96e67c84816ea0b6d07375f2a50a53fc1311409c745"
"RPM-2013-02-14:5398:1","RPM-2013-02-14:5398:2","5398","CONSTANCIA","2372","2548","7bfbea25ad161848435a5e53a0388ecac169414225a91e13cc6d3d8672ad3bf3"
"RPM-2013-02-14:5398:2","RPM-2013-02-14:5398:3","5398","INTEGRA","0","1707","f13495874ecb4d2fe2d2133b92402f6aa5dc9486ea1b2eb5cf00679402e4cebb"
"RPM-2013-02-14:5399:1","RPM-2013-02-14:5399:1","5399","INTEGRA","0","83","d0fbab16bba077d48fb4a8a8a301012580cf186cf026749d2da7720557cc6db2"
"RPM-2013-03-14:5400:1","RPM-2013-03-14:5400:1","5400","INTEGRA","0","1512","06de635b03ad96625b17f456fa67674dc78ee8aefda1e65c37600cc6ac787d56"
"RPM-2013-03-14:5401:1","RPM-2013-03-14:5401:1","5401","INTEGRA","0","813","dded127f78ddcb0aee1d7b4dec2968083a09f95f0f9358d91cd6157d5a204a37"
"RPM-2013-03-14:5402:1","RPM-2013-03-14:5402:1","5402","INTEGRA","0","5443","6d31e269907569cd51e77f4d2b2c0bafab9e3eb4ab05c2872a5f08482cc94b64"
"RPM-2013-03-14:5402:2","RPM-2013-03-14:5402:2","5402","INTEGRA","0","756","3ff0d0c11ca323b28416c74e4968e9508ea45cd442fc9dc9023d6699ce5bbc59"
"RPM-2013-03-14:5403:1","RPM-2013-03-14:5403:1","5403","INTEGRA","0","653","df9deb04d671749d859d3c0992138e3965672244975cfb2e2d5265180cce6ced"
"RPM-2013-03-14:5404:1","RPM-2013-03-14:5404:1","5404","INTEGRA","0","685","55f4d2cb88c744c08a2b76ff1872e4a746d3e0e4f9f2db3f419b8d45947f0398"
"RPM-2013-03-14:5405:1","RPM-2013-03-14:5405:1","5405","INTEGRA","0","2798","c11149a46e20c7472f2a9054c3dcfc43a490c6c52c7c1c9dc47fc53af9203048"
"RPM-2013-03-14:5406:1","RPM-2013-03-14:5406:1","5406","INTEGRA","0","807","eeb7ee32cb4f0c793755ee62f21449cba0fbb52b07c27793f1adda72c89957ae"
"RPM-2013-03-14:5406:2","RPM-2013-03-14:5406:2","5406","INTEGRA","0","1249","cb2d6bc4052881e56d299d789bcda3bf4bb0556d67d05db8d22f49c33df61e91"
"RPM-2013-03-14:5407:1","RPM-2013-03-14:5407:1","5407","INTEGRA","0","7191","5be33acaa915eb6def7ae4f684c43706b3aa83746888a3b17cb403606ac25f58"
"RPM-2013-03-14:5408:1","RPM-2013-03-14:5408:1","5408","INTEGRA","0","2973","ac344cb899c044659d010f2f853c4f83e5f381fbf7db9bef71b8f19aa614d8e2"
"RPM-2013-03-14:5409:1","RPM-2013-03-14:5409:1","5409","INTEGRA","0","459","ff6a4a197b0a909647ed2fbe71a0f83a64b9e0aef4e532aeb7920b03e1f96a70"
"RPM-2013-03-14:5410:1","RPM-2013-03-14:5410:1","5410","INTEGRA","0","790","672b5b618191deb594e97540c17bd529525639faa89ecdee764b13ea1e384863"
"RPM-2013-03-14:5411:1","RPM-2013-03-14:5411:1","5411","INTEGRA","0","186","08aa4b9d7968f301c74765541e51b7e601c7043324123b47da5f7ebe357ef5a2"
"RPM-2013-03-14:5412:1","RPM-2013-03-14:5412:1","5412","INTEGRA","0","1118","343a11ec117e3295ea728937c6c7a4d34ddbf8da00feab3eb80fe6fc15135a01"
"RPM-2013-03-14:5412:2","RPM-2013-03-14:5412:2","5412","INTEGRA","0","509","94017e7bc06286d75a4d79a151fae466691dbbb89419993dc2bd650c1fc51dab"
"RPM-2013-03-14:5413:1","RPM-2013-03-14:5413:1","5413","INTEGRA","0","3513","8438f47583f36cbc318b0b320000ad2232f13aa104bf21f55691760e70dbf1c7"
