ID_Padre,Tipo,SHA256_Texto_Padre,Version,ID,Id_Sesion,Fecha,Actor_Original,Actor_Final,Actor_Corregido,Rol_Fuente,Rol_Final,Rol_Corregido,Rol_Detectado_Texto,Rol_Lista_Asistencia,Fuente_Rol,Tipo_Acta,Fuente_Actor,Página,Texto,Tema_Original,Tema_Categoria,Palabra_Clave_Original,Palabra_Clave_Categoria,Texto_Truncado,Duplicado_Exacto,Duplicado_Formula,Nota,ID_Intervencion,Numero_Segmento,Fuente_Texto,Duplicado_Exacto_Origen,Duplicado_Formula_Origen,ID_Bloque_Texto,Estado_Revision,Motivos_Revision,ID_Turno,Relacion_Turno,ID_Antecedente_Continuidad,ID_Ancla_Actor
2931,RESEGMENTACION,0a414d26473f6596ce4286566f46bb2b3925f7261df2f3eb8b905d1fba47b412,Antes,4358,RPM-2010-02-11,2010-02-11 00:00:00,Enrique Marshall Rivera,Pablo García Silva,SI,Consejero,Gerente de División Estudios,SI,,Gerente de División Estudios,LISTA_ASISTENCIA,,SUJETO_NOMBRE,13,"El señor Pablo García indica que el temor que mencionaba el Consejero señor Enrique Marshall radica en que al efectuarse este ejercicio se observaran, por ejemplo, grandes diferencias en la estacionalidad a nivel nacional y a nivel Gran Santiago, lo que produciría repercusiones acerca de su proyección futura.",Análisis de la inflación y expectativas inflacionarias,inflacion,inflación,inflacion,NO,NO,NO,Rol según lista de asistencia: Gerente de División Estudios,RPM-2010-02-11:2931:1,1,XLSX_ORIGINAL,NO,NO,RPM-2010-02-11:2931:B1,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-02-11:T71,INICIO_EXPLICITO,,RPM-2010-02-11:2931:1
2931,RESEGMENTACION,0a414d26473f6596ce4286566f46bb2b3925f7261df2f3eb8b905d1fba47b412,Antes,4359,RPM-2010-02-11,2010-02-11 00:00:00,Enrique Marshall Rivera,Enrique Marshall Rivera,NO,Consejero,Consejero,NO,,Consejero,LISTA_ASISTENCIA,,SUJETO_ROL_NOMBRE,13,"El Consejero señor Marshall consulta si estos cambios metodológicos informados el año pasado ya están resueltos, de manera que no van a producirse sorpresas en esa materia, afirmando el señor Pablo García que ello es efectivo, considerando adicionalmente que el documento metodológico que el INE publicó para el IPC nacional es prácticamente idéntico al que difundió hace un año atrás para el IPC del Gran Santiago.",Análisis de la inflación y expectativas inflacionarias,inflacion,inflación,inflacion,NO,NO,NO,Rol según lista de asistencia: Consejero,RPM-2010-02-11:2931:2,2,XLSX_ORIGINAL,NO,NO,RPM-2010-02-11:2931:B2,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-02-11:T72,INICIO_EXPLICITO,,RPM-2010-02-11:2931:2
2931,RESEGMENTACION,0a414d26473f6596ce4286566f46bb2b3925f7261df2f3eb8b905d1fba47b412,Despues,4358,RPM-2010-02-11,2010-02-11 00:00:00,Enrique Marshall Rivera,Pablo García Silva,SI,Consejero,Gerente de División Estudios,SI,,Gerente de División Estudios,LISTA_ASISTENCIA,,SUJETO_NOMBRE,13,"El señor Pablo García indica que el temor que mencionaba el Consejero señor Enrique Marshall radica en que al efectuarse este ejercicio se observaran, por ejemplo, grandes diferencias en la estacionalidad a nivel nacional y a nivel Gran Santiago, lo que produciría repercusiones acerca de su proyección futura.",Análisis de la inflación y expectativas inflacionarias,inflacion,inflación,inflacion,NO,NO,NO,Rol según lista de asistencia: Gerente de División Estudios,RPM-2010-02-11:2931:1,1,XLSX_ORIGINAL,NO,NO,RPM-2010-02-11:2931:B1,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-02-11:T71,INICIO_EXPLICITO,,RPM-2010-02-11:2931:1
2931,RESEGMENTACION,0a414d26473f6596ce4286566f46bb2b3925f7261df2f3eb8b905d1fba47b412,Despues,4359,RPM-2010-02-11,2010-02-11 00:00:00,Enrique Marshall Rivera,Enrique Marshall Rivera,NO,Consejero,Consejero,NO,,Consejero,LISTA_ASISTENCIA,,SUJETO_ROL_NOMBRE,13,"El Consejero señor Marshall consulta si estos cambios metodológicos informados el año pasado ya están resueltos, de manera que no van a producirse sorpresas en esa materia,",Análisis de la inflación y expectativas inflacionarias,inflacion,inflación,inflacion,NO,NO,NO,Rol según lista de asistencia: Consejero,RPM-2010-02-11:2931:2,2,XLSX_ORIGINAL,NO,NO,RPM-2010-02-11:2931:B2,PENDIENTE_REVISION,FINAL_SIN_PUNTUACION,RPM-2010-02-11:T72,INICIO_EXPLICITO,,RPM-2010-02-11:2931:2
2931,RESEGMENTACION,0a414d26473f6596ce4286566f46bb2b3925f7261df2f3eb8b905d1fba47b412,Despues,4360,RPM-2010-02-11,2010-02-11 00:00:00,Enrique Marshall Rivera,Pablo García Silva,SI,Consejero,Gerente de División Estudios,SI,,Gerente de División Estudios,LISTA_ASISTENCIA,,CONTEXTO_REVISADO,13,"afirmando el señor Pablo García que ello es efectivo, considerando adicionalmente que el documento metodológico que el INE publicó para el IPC nacional es prácticamente idéntico al que difundió hace un año atrás para el IPC del Gran Santiago.",Análisis de la inflación y expectativas inflacionarias,inflacion,inflación,inflacion,NO,NO,NO,Hablante por contexto documentado: HAB-20260908-L29-2931-484 (data/curation/revisiones_hablantes.json; no cotejo PDF); Rol según lista de asistencia: Gerente de División Estudios,RPM-2010-02-11:2931:3,3,XLSX_ORIGINAL,NO,NO,RPM-2010-02-11:2931:B3,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-02-11:T73,SIN_CONTINUIDAD_CONFIRMADA,,
3044,RESEGMENTACION,03a220efc41d58e1d273a951bc323c7d17c855bcdad471a5ebdf580a5a21a1ea,Antes,4530,RPM-2010-04-15,2010-04-15 00:00:00,Manuel Marfán Lewis,Manuel Marfán Lewis,NO,Vicepresidente del Banco Central,Vicepresidente del Banco Central,NO,,Vicepresidente del Banco Central,LISTA_ASISTENCIA,,SUJETO_ROL_NOMBRE,8,"El Vicepresidente, señor Manuel Marfán, comenta que eso ocurre todos los años, ya que es parte del sistema de recaudación de impuestos, replicando el señor Vergara que el año pasado hubo una política específica de postergación de pagos, esto es, la baja de los PPM transitoria. El señor Marfán agrega que ello no debiera afectar los ingresos estructurales, ya que el PPM solo es un pago adelantado de impuestos, por lo que si se ajusta a la baja, la operación renta siguiente se compensa totalmente.",Análisis macroeconómico y discusión de política monetaria,debate,discusión monetaria,debate,NO,NO,NO,Rol según lista de asistencia: Vicepresidente del Banco Central,RPM-2010-04-15:3044:1,1,XLSX_ORIGINAL,NO,NO,RPM-2010-04-15:3044:B1,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-04-15:T28,INICIO_EXPLICITO,,RPM-2010-04-15:3044:1
3044,RESEGMENTACION,03a220efc41d58e1d273a951bc323c7d17c855bcdad471a5ebdf580a5a21a1ea,Despues,4531,RPM-2010-04-15,2010-04-15 00:00:00,Manuel Marfán Lewis,Manuel Marfán Lewis,NO,Vicepresidente del Banco Central,Vicepresidente del Banco Central,NO,,Vicepresidente del Banco Central,LISTA_ASISTENCIA,,SUJETO_ROL_NOMBRE,8,"El Vicepresidente, señor Manuel Marfán, comenta que eso ocurre todos los años, ya que es parte del sistema de recaudación de impuestos,",Análisis macroeconómico y discusión de política monetaria,debate,discusión monetaria,debate,NO,NO,NO,Rol según lista de asistencia: Vicepresidente del Banco Central,RPM-2010-04-15:3044:1,1,XLSX_ORIGINAL,NO,NO,RPM-2010-04-15:3044:B1,PENDIENTE_REVISION,FINAL_SIN_PUNTUACION,RPM-2010-04-15:T28,INICIO_EXPLICITO,,RPM-2010-04-15:3044:1
3044,RESEGMENTACION,03a220efc41d58e1d273a951bc323c7d17c855bcdad471a5ebdf580a5a21a1ea,Despues,4532,RPM-2010-04-15,2010-04-15 00:00:00,Manuel Marfán Lewis,Rodrigo Vergara Montes,SI,Vicepresidente del Banco Central,Consejero,SI,,Consejero,LISTA_ASISTENCIA,,CONTEXTO_REVISADO,8,"replicando el señor Vergara que el año pasado hubo una política específica de postergación de pagos, esto es, la baja de los PPM transitoria.",Análisis macroeconómico y discusión de política monetaria,debate,discusión monetaria,debate,NO,NO,NO,Hablante por contexto documentado: HAB-20260908-L29-3044-136 (data/curation/revisiones_hablantes.json; no cotejo PDF); Rol según lista de asistencia: Consejero,RPM-2010-04-15:3044:2,2,XLSX_ORIGINAL,NO,NO,RPM-2010-04-15:3044:B2,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-04-15:T29,SIN_CONTINUIDAD_CONFIRMADA,,
3044,RESEGMENTACION,03a220efc41d58e1d273a951bc323c7d17c855bcdad471a5ebdf580a5a21a1ea,Despues,4533,RPM-2010-04-15,2010-04-15 00:00:00,Manuel Marfán Lewis,Manuel Marfán Lewis,NO,Vicepresidente del Banco Central,Vicepresidente del Banco Central,NO,,Vicepresidente del Banco Central,LISTA_ASISTENCIA,,SUJETO_NOMBRE,8,"El señor Marfán agrega que ello no debiera afectar los ingresos estructurales, ya que el PPM solo es un pago adelantado de impuestos, por lo que si se ajusta a la baja, la operación renta siguiente se compensa totalmente.",Análisis macroeconómico y discusión de política monetaria,debate,discusión monetaria,debate,NO,NO,NO,Rol según lista de asistencia: Vicepresidente del Banco Central,RPM-2010-04-15:3044:3,3,XLSX_ORIGINAL,NO,NO,RPM-2010-04-15:3044:B3,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-04-15:T30,INICIO_EXPLICITO,,RPM-2010-04-15:3044:3
3045,ADVERTENCIA_SIN_REASIGNACION,36d6c3323db19071a1b04c09193abe8cc45a6f40db189b58138757b2b70c6aaa,Antes,4531,RPM-2010-04-15,2010-04-15 00:00:00,Sebastián Claro Edwards,Sebastián Claro Edwards,NO,Consejero,Consejero,NO,,Consejero,LISTA_ASISTENCIA,,SUJETO_ROL_NOMBRE,9,"El Consejero señor Sebastián Claro indica que, a su entender, el bottom fine de la discusión es que el presupuesto para este año, aprobado en septiembre del año pasado, se aprobó con un superávit estructural de cero y que dado este carry over de gasto, iba a ser- 1,2%. Comenta que si sobre eso hay un paquete fiscal y un ajuste de brecha de producto, entonces el déficit estructural es de 2,7% Yque el efecto de este carry over de gastos oscila entre Oy -1,2%.",Situación fiscal y coordinación macroeconómica,politica_fiscal,política fiscal,politica_fiscal,NO,NO,NO,Rol según lista de asistencia: Consejero,RPM-2010-04-15:3045:1,1,XLSX_ORIGINAL,NO,NO,RPM-2010-04-15:3045:B1,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-04-15:T29,INICIO_EXPLICITO,,RPM-2010-04-15:3045:1
