Ciclos,ID_Padre,SHA256_Texto_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,ID_Turno,Relacion_Turno,Alertas_Actuales,Texto_Actual
1,4833,1b372af6d512f39ef8da975d8ce2d995c01430f729caf443b15b50033bf83cb8,2012-05-17,6634;6635,Claudio Soto Gamboa;Consejo del Banco Central de Chile,6639,Consejo del Banco Central de Chile,ACTA/META,RPM-2012-05-17:T49,INSTITUCIONAL,,"Siendo las 15:30 horas, se reanuda la Reunión de Política Monetaria N° 185, incorporándose a esta Sesión el Ministro de Hacienda señor Felipe Larraín y el Asesor de ese Ministerio señor Rodrigo Cerda."
2,4857,ed90a120df786f1d483f542c5980ccee01f8d5c404114355dc61facf0f8e96d5,2012-06-14,6661;6662,Rodrigo Vergara Montes;Sergio Lehmann Beresi,6665,Rodrigo Vergara Montes,SUJETO_ROL_NOMBRE,RPM-2012-06-14:T8,INICIO_EXPLICITO,FINAL_SIN_PUNTUACION,El Presidente señor Rodrigo Vergara consulta por la situación de Rusia
2,4857,ed90a120df786f1d483f542c5980ccee01f8d5c404114355dc61facf0f8e96d5,2012-06-14,6661;6662,Rodrigo Vergara Montes;Sergio Lehmann Beresi,6666,Joaquín Vial Ruiz-Tagle,CONTEXTO_REVISADO,RPM-2012-06-14:T9,SIN_CONTINUIDAD_CONFIRMADA,,"y sobre este aspecto, el Consejero señor Joaquín Vial manifiesta que el plan de expansión impulsado por el Presidente Putin ha generado dudas sobre la sostenibilidad fiscal de esa economía, especialmente en el contexto actual en que ha disminuido el precio del petróleo. Añade que es probable que esa economía enfrente además serios problemas derivados de sus exportaciones de gas, cuyo principal destino es Europa y cuyos contratos están indexados al precio del petróleo."
2,4857,ed90a120df786f1d483f542c5980ccee01f8d5c404114355dc61facf0f8e96d5,2012-06-14,6661;6662,Rodrigo Vergara Montes;Sergio Lehmann Beresi,6667,Sergio Lehmann Beresi,SUJETO_NOMBRE,RPM-2012-06-14:T10,INICIO_EXPLICITO,,"En materia de actividad, el señor Sergio Lehmann señala que los indicadores confirman una moderación de ella en Estados Unidos de América y un retroceso en Europa. Especifica que en el caso particular de Estados Unidos de América, el dato de producción industrial del mes de abril fue algo mejor que lo esperado, que las ventas se mantienen sin variación y que el mercado laboral exhibe señales de desaceleración, mientras que en la Zona Euro, si bien la producción industrial fue algo mejor que lo anticipado, igualmente da cuenta de una contracción. Agrega que Japón también exhibe datos más bien negativos en el margen y que en China, los datos del sector externo fueron mejores que lo anticipado, pero las ventas minoristas y la producción industrial se encuentran por debajo de lo previsto. Con respecto a las encuestas de consumidores y empresas, menciona que la situación es mixta. A título ejemplar, comenta que el ISM de servicios norteamericano fue mejor que lo anticipado, no así en el manufacturero, y que en Alemania y Japón, los resultados fueron más negativos que lo previsto. En relación con la producción industrial por región, indica que retrocede en el margen, particularmente en las economías emergentes, y que no registra mayor variación en las economías desarrolladas. Menciona que los PMI de las distintas regiones también se han desacelerado, influidos por China en el caso de las economías emergentes y por Europa en las desarrolladas. Con respecto a las economías emergentes, destaca que Brasil tiene los PMI manufacturero y de servicios por debajo del pivote, y que en materia de PMI manufacturero, la única excepción la constituye México, que registra un aumento en el margen. Al continuar con su presentación, el señor Sergio Lehmann hace presente que el mercado laboral norteamericano ha perdido dinamismo. Sobre el particular, precisa que la tasa de desempleo aumentó ligeramente, que la creación de empleo se ha desacelerado y que los indicadores de subsidio de desempleo muestran un ligero incremento en el margen, en línea con esta percepción de un mercado laboral menos dinámico. Añade que de acuerdo con el ISM subíndice empleo, esta desaceleración persistiría en los próximos meses. Con respecto a Europa, informa que su situación está lejos de resolverse y que, de hecho, existen claras divergencias entre las economías core y las periféricas. En cuanto a las ventas minoristas, especifica que se encuentran en terreno negativo desde el año 2010; que Alemania mostró aumentos, pero que ahora registra un ligero retroceso; y que las economías Core ex - Alemania figuran sin mayor variación. Agrega que la producción industrial se desacelera en toda Europa; que la inflación es mayor en las economías periféricas; y que los salarios aumentan en Alemania y algo menos en las economías Core ex – Alemania. En cuanto a América Latina, expresa que se advierten desaceleraciones importantes en producción industrial, particularmente en el caso de Brasil; que las ventas minoristas repuntan en esta economía y se desaceleran en los otros países analizados, esto es, México y Colombia; que el PMI manufacturero también se desacelera y que la confianza de consumidores es positiva en Brasil y más moderada en Colombia y México."
1,4885,567a3ffd5653adc55367c85578c622e4605d9d7dbc266b5b560030b195cca299,2012-06-14,6690;6691,Luis Óscar Herrera Barriga;Consejo del Banco Central de Chile,6695,Luis Óscar Herrera Barriga,SUJETO_NOMBRE,RPM-2012-06-14:T37,INICIO_EXPLICITO,,"El señor Luis Óscar Herrera agrega que tampoco se advierten problemas de liquidez en el ámbito interno ni externo. En materia de inflación, destaca que en el IPoM del mes de junio en curso se dejará claramente establecido que la evolución reciente de la inflación ha sido consecuencia de los cambios en los precios volátiles y no de una modificación de tendencia y que, por lo tanto, el mercado sigue ajustado, planteando algunos riesgos de mediado plazo."
1,4885,567a3ffd5653adc55367c85578c622e4605d9d7dbc266b5b560030b195cca299,2012-06-14,6690;6691,Luis Óscar Herrera Barriga;Consejo del Banco Central de Chile,6696,Rodrigo Vergara Montes,SUJETO_ROL_NOMBRE,RPM-2012-06-14:T38,INICIO_EXPLICITO,,"Al no formularse otros comentarios, el Presidente señor Rodrigo Vergara suspende la Reunión y deja constancia que ella se reiniciará a las 15:30 horas para tratar las opciones de Política Monetaria."
1,4885,567a3ffd5653adc55367c85578c622e4605d9d7dbc266b5b560030b195cca299,2012-06-14,6690;6691,Luis Óscar Herrera Barriga;Consejo del Banco Central de Chile,6697,Consejo del Banco Central de Chile,ACTA/META,RPM-2012-06-14:T39,INSTITUCIONAL,,"Siendo las 15:30 horas, se reanuda la Reunión de Política Monetaria N° 186, incorporándose a esta Sesión el Ministro de Hacienda señor Felipe Larraín y el Asesor de ese Ministerio señor Rodrigo Cerda."
2,4941,daadfa2182aa9d4d37d5cc72237af3e914ca3862ca627468f93bcae57253e7af,2012-07-12,6748,Luis Óscar Herrera Barriga,6754,Luis Óscar Herrera Barriga,SUJETO_NOMBRE,RPM-2012-07-12:T42,INICIO_EXPLICITO,,"El señor Luis Óscar Herrera acota que la apreciación que registra el peso chileno en el último mes es comparable con la de las monedas de Perú, Brasil, Australia, Sudáfrica y México, en razón de la existencia de un elemento común en el grupo de países indicados, que es el de ser exportadores de materias primas."
2,4941,daadfa2182aa9d4d37d5cc72237af3e914ca3862ca627468f93bcae57253e7af,2012-07-12,6748,Luis Óscar Herrera Barriga,6755,Claudio Soto Gamboa,CONTEXTO_REVISADO,RPM-2012-07-12:T43,SIN_CONTINUIDAD_CONFIRMADA,,"Al proseguir con su exposición, el Gerente de Análisis Macroeconómico se refiere a la inflación. Al respecto, destaca que el último dato, de -0,3%, sorprendió de manera importante al mercado y a nivel interno, a pesar de que el mercado había ajustado su proyección en esa dirección durante el mismo mes con motivo de la caída en los precios de los combustibles y que los indicadores disponibles internamente anticipaban una inflación en torno a 0%, inferior a la proyectada. Informa que las sorpresas se explican por la caída significativa de los combustibles, así como también por otros componentes del IPC. De hecho, menciona que el componente subyacente que excluye combustibles y alimentos sorprendió en casi tres décimas a la baja, dos de las cuales obedecen a bienes transables. Acota, a título ejemplar, que los precios de automóviles experimentaron caídas significativas, contrariamente a lo anticipado, dada la depreciación que había registrado el tipo de cambio, y que los precios de medicamentos y otros productos asociados al mismo también anotaron disminuciones, así como también la carne, que se incluye en componente resto de los alimentos. En lo que se refiere a las perspectivas inflacionarias, expresa que no se ha modificado el diagnóstico para la parte no transable de la inflación subyacente, ya que se esperan tasas de crecimiento interanuales en torno a 5%, cayendo levemente, aun cuando en la parte transable, algunos elementos determinan una trayectoria más atenuada, como es el caso de los medicamentos y la apreciación del tipo de cambio. Destaca que en la parte de combustibles hubo sorpresas a la baja, explicadas por el precio de las gasolinas. Agrega que si bien los últimos registros dan cuenta de pequeños cambios en la trayectoria a la baja, por cuanto la evolución de los precios internacionales podría incidir en el corto plazo, hacia el mediano plazo, las perspectivas anticipan un precio de la gasolina menor que el proyectado en la RPM anterior, lo cual también constituye una presión para un ajuste a la baja en la proyección de inflación."
1,4955,7c077d26995fc6d1feb941523b1bcb79a9319e90cd911cab29d6023a7f79192c,2012-07-12,6763;6764,Enrique Marshall Rivera;Consejo del Banco Central de Chile,6770,Enrique Marshall Rivera,SUJETO_ROL_NOMBRE,RPM-2012-07-12:T58,INICIO_EXPLICITO,,"El Consejero señor Enrique Marshall hace notar que los resultados de la citada encuesta son más bien planos, porque es respondida por economistas, no así los de la Encuesta de Operadores Financieros, que refleja la opinión de operadores que se desempeñan en el negocio financiero."
