ID_Padre,SHA256_Texto_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,ID_Turno,Relacion_Turno,Alertas_Actuales,Texto_Actual
2779,4f8c900b02547f37065c1b6bf660952ba8303456339e42fd0bea158cfa9a5fb4,2009-11-12,4031,Kevin Cowan Logan,4031,Kevin Cowan Logan,SUJETO_ROL_NOMBRE,RPM-2009-11-12:T43,INICIO_EXPLICITO,,"El Gerente de División Política Financiera, señor Kevin Cowan, manifiesta entender que el empleo asalariado en la construcción aumenta, pero que sumado con el empleo por cuenta propia en construcción está más bien estable."
2779,4f8c900b02547f37065c1b6bf660952ba8303456339e42fd0bea158cfa9a5fb4,2009-11-12,4031,Kevin Cowan Logan,4032,Claudio Soto Gamboa,SUJETO_NOMBRE,RPM-2009-11-12:T44,INICIO_EXPLICITO,FINAL_SIN_PUNTUACION;FRAGMENTO_BREVE,"El señor Soto asiente,"
2779,4f8c900b02547f37065c1b6bf660952ba8303456339e42fd0bea158cfa9a5fb4,2009-11-12,4031,Kevin Cowan Logan,4033,Enrique Marshall Rivera,CONTEXTO_REVISADO,RPM-2009-11-12:T45,SIN_CONTINUIDAD_CONFIRMADA,,"mientras que el Consejero señor Enrique Marshall responde que ello contradice totalmente lo que se mostró en materia de construcción. En su opinión, en este sector se puede demostrar el empleo asalariado, ya que por empleo por cuenta propia, llevando las cosas a un extremo, se podría decir que este aumenta cuando los maestros empiezan a hacer trabajos muy simples."
3107,70bdecaab346768f17df7bd8fbb422e87221bb826b91abc769adb5af4c7160c3,2010-05-13,4530;4531,Manuel Marfán Lewis;Beltrán de Ramón Acevedo,4532,Manuel Marfán Lewis,SUJETO_ROL_NOMBRE,RPM-2010-05-13:T35,INICIO_EXPLICITO,,"El Vicepresidente, señor Manuel Marfán, comparte lo planteado por el señor Claro, manifestando que podrían haber muchas otras explicaciones para lo mismos movimientos de los indicadores de riesgo frente a la crisis griega. Asimismo, coincide con que el inminente fin de la FLAP puede estar afectando los mercados que están viniendo por liquidez. A propósito de eso, y específicamente acerca de cómo podría afectar la crisis griega a Chile, señala que usaría otro indicador, que es aprovechar que el Banco Santander Chile emitió un bono que se transa internacionalmente, para ver cuál es el spread de ese bono y ver si se correlaciona con la tasa de interés de bonos públicos equivalentes, o de alguna empresa privada no española equivalente, y las fluctuaciones de la matriz del Banco Santander. En su opinión, si están muy correlacionados con la matriz, de alguna manera hay un contagio que podría ser a través del sistema financiero. Menciona luego que lo que le preocupa relativamente menos es lo referente a la cuenta corriente, incluso midiéndola a precios de largo plazo, ya que si se hace un ejercicio teórico para determinar cuál es el efecto de un desastre como el terremoto, se debería obtener un empeoramiento en la cuenta corriente, que debiera ser transitorio mientras dura el período de reconstrucción porque cae el producto potencial interno, pero el proceso de reconstrucción lo aumenta. El señor Manuel Marfán indica que sí le preocupa mucho ver que la tasa de crecimiento de la demanda interna va a enterar probablemente una cifra cercana al 15% este año, suponiendo que se desacelera bruscamente en el cuarto trimestre de acuerdo con lo esperado. Agrega tener dudas sobre esa cifra porque los modelos del Banco desaceleran siempre, porque suponen que se converge, en circunstancias que estima que hay demasiados elementos de riesgo de que eso no ocurra. A modo de ejemplo, comenta que en el ámbito fiscal hay varias incertidumbres en aspectos que no son problemas de manejo del Gobierno, sino que de dinámica propia de la lógica que tiene la política fiscal porque es evidente que frente a la magnitud del desastre tiene que haber algún grado de aumento de gastos para los damnificados y a la reconstrucción, pero el efecto sobre la demanda interna será muy distinto, dependiendo de la magnitud de lo que recaude el paquete de financiamiento. Comenta también que para el corto plazo le preocupa incluso algo más cuándo se aprobará el plan de reconstrucción, porque si ya se está gastando a cuenta de él y su aprobación se atrasa en un trimestre, el efecto sobre la demanda interna puede ser muy significativo. Sobre el particular, cita lo ocurrido en el año 1990, cuando había un problema de programa social, compitiendo contra una reforma tributaria, y los descalces en la sincronización tenían efectos macroeconómicos que eran muy disruptivos, lo que constituyó un gran problema."
3107,70bdecaab346768f17df7bd8fbb422e87221bb826b91abc769adb5af4c7160c3,2010-05-13,4530;4531,Manuel Marfán Lewis;Beltrán de Ramón Acevedo,4533,Beltrán de Ramón Acevedo,SUJETO_ROL_NOMBRE,RPM-2010-05-13:T36,INICIO_EXPLICITO,,"En relación con la pregunta sobre la crisis griega y su efecto en Chile, el Gerente de División Operaciones Financieras, señor Beltrán de Ramón, concuerda con que no ha contaminado los precios de los activos chilenos y que, de hecho, ningún banco ha reportado problemas de líneas y que, por el contrarío, han tenido que renunciar a lineas externas. Respecto de la pregunta sobre la FLAP, comenta que su caída ha sido efectivamente mayor que el aumento del Repo, pero que es indudable que este último también ha aumentado. Explica que el Repo ha sido tomado principalmente por bancos locales, no por bancos extranjeros, que han traído bonos y no depósitos a plazo como colaterales. En su opinión, ello podría obedecer a que los bancos locales no tienen contemplado vender los bonos todavía, sino que tal vez en un tiempo más, ya que estiman que las tasas largas van a seguir cayendo, vendiendo sus depósitos mientras tanto. Explica que los bancos vienen al Repo, porque así obtienen liquidez gratis, a la TPM. mientras que la alternativa puede ser ir a una AFP, que le va a cobrar 25 puntos todos los días. Manifiesta que es muy posible que la venta de los depósitos a plazo se deba a que su tasa es atractiva hoy día, ya que subió un poco y la de 360 días está, de hecho, en algo más de 2% y, por lo tanto, puede ser que los bancos se estén deshaciendo de ese tipo de depósitos de manera ordenada. En resumen, indica que los bancos más bien mantienen los papeles que cree que van a subir de valor y, mientras tanto, con esos papeles obtienen liquidez gratis."
3107,70bdecaab346768f17df7bd8fbb422e87221bb826b91abc769adb5af4c7160c3,2010-05-13,4530;4531,Manuel Marfán Lewis;Beltrán de Ramón Acevedo,4534,Matías Bernier Bórquez,CONTEXTO_REVISADO,RPM-2010-05-13:T37,SIN_CONTINUIDAD_CONFIRMADA,,"Para complementar, el Gerente de Mercados Financieros Nacionales, señor Matías Bernier, señala que los vencimientos más cuantiosos de la FLAP han sido que no ha renovado en los Repos, y últimamente. Agrega que el ha ido disminuyendo su posición de liquidez neta y no ha sustituido los depósitos a plazo, sino que ha traído nuevos bonos."
3158,304d470f585515c6478f844583b9dc073579f13e33b24c8f5bf487417b9ff08b,2010-06-15,4598;4599,Pablo García Silva;Claudio Soto Gamboa,4601,Pablo García Silva,SUJETO_NOMBRE,RPM-2010-06-15:T33,INICIO_EXPLICITO,FINAL_SIN_PUNTUACION,"El señor Pablo García señala que el empleo total asciende 6,5 millones de personas"
3158,304d470f585515c6478f844583b9dc073579f13e33b24c8f5bf487417b9ff08b,2010-06-15,4598;4599,Pablo García Silva;Claudio Soto Gamboa,4602,Claudio Soto Gamboa,CONTEXTO_REVISADO,RPM-2010-06-15:T34,SIN_CONTINUIDAD_CONFIRMADA,,"y el señor Claudio Soto agrega que, en abril, este registró una variación de 6,4% en doce meses, lo que implica alrededor de 400.000 personas. El señor Soto prosigue, indicando que el empleo por cuenta propia experimentó un fuerte crecimiento en abril y que el empleo asalariado también aumentó, pero en menor medida. Comenta que a nivel sectorial, el fuerte aumento se registró en servicios y comercio, estimándose que parte de este correspondería a la creación de empleo por cuenta propia y a un cierto grado de informalidad que se estaría observando en estos sectores. Añade que la serie de empleo por cuenta propia ha sido bastante volátil y que ha estado muy afectada por el terremoto, ya que disminuyó en febrero y marzo y aumentó en abril."
