ID_Padre,ID,Actor,Duplicado_Formula_Antes,Duplicado_Formula_Actual,Alertas_Antes,Alertas_Actuales,Nota_Actual,Texto
644,848,Vittorio Corbo Lioi,NO,SI,DUPLICADO_NO_FORMULA,,Fórmula procedimental revisada: FORM-20260907-PRESENTACION-VALDES; Rol según lista de asistencia: Presidente del Banco Central,"A continuación, el Presidente, don Vittorio Corbo, solicita al Gerente de División Estudios, don Rodrigo Valdés, que presente las Opciones de Política Monetaria."
664,899,Vittorio Corbo Lioi,NO,SI,DUPLICADO_NO_FORMULA,,Fórmula procedimental revisada: FORM-20260907-PRESENTACION-VALDES; Rol según lista de asistencia: Presidente del Banco Central,"A continuación, el Presidente, don Vittorio Corbo, solicita al Gerente de División Estudios, don Rodrigo Valdés, que presente las Opciones de Política Monetaria."
727,968,Vittorio Corbo Lioi,NO,NO,,,Fórmula procedimental revisada: FORM-20260907-PRESENTACION-VALDES; Rol según lista de asistencia: Presidente del Banco Central,"A continuación, el Presidente, don Vittorio Corbo, solicita al Gerente de División
Estudios, don Rodrigo Valdés, que presente las Opciones de Política Monetaria."
770,1037,Vittorio Corbo Lioi,NO,SI,DUPLICADO_NO_FORMULA,,Fórmula procedimental revisada: FORM-20260907-PRESENTACION-VALDES; Rol según lista de asistencia: Presidente del Banco Central,"A continuación, el Presidente, don Vittorio Corbo, solicita al Gerente de División Estudios, don Rodrigo Valdés, que presente las Opciones de Política Monetaria."
