ID_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,Rol_Actual,Texto_Actual
1003,2006-12-14,1277;1278;1279;1280;1281;1282,Vittorio Corbo Lioi → José De Gregorio Rebeco → Rodrigo Valdés Pulido → Andrés Velasco Brañes → Vittorio Corbo Lioi → Rodrigo Valdés Pulido,1277,Vittorio Corbo Lioi,SUJETO_ROL_SESION,Presidente del Banco Central,El señor Presidente ofrece la palabra para comentarios sobre el escenario interno.
1003,2006-12-14,1277;1278;1279;1280;1281;1282,Vittorio Corbo Lioi → José De Gregorio Rebeco → Rodrigo Valdés Pulido → Andrés Velasco Brañes → Vittorio Corbo Lioi → Rodrigo Valdés Pulido,1278,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,Vicepresidente del Banco Central,"Consulta el Vicepresidente señor José De Gregorio si las proyecciones de corto plazo son consistentes con el IPoM, o mayores, o menores que éste."
1003,2006-12-14,1277;1278;1279;1280;1281;1282,Vittorio Corbo Lioi → José De Gregorio Rebeco → Rodrigo Valdés Pulido → Andrés Velasco Brañes → Vittorio Corbo Lioi → Rodrigo Valdés Pulido,1279,Igal Magendzo Weinberger,SUJETO_ROL_NOMBRE,Gerente de Análisis Macroeconómico,"El Gerente señor Madgenzo señala que para el tercer trimestre respecto al IPoM fueron menores de lo que se esperaba y que el cuarto trimestre es muy similar. Agrega que en todo caso, aún está presente el riesgo de que exista una mayor persistencia de la desaceleración recientemente observada. El Gerente señor Igal Madgenzo señala que la inflación del IPC de noviembre se ubicó en línea con lo esperado, que fue 2,1% anual. Por su parte, la inflación del IPCX1, a diferencia de lo que había ocurrido en meses anteriores, también estuvo en línea con lo esperado. Comenta también el señor Madgenzo que en los últimos meses las medidas de tendencia inflacionaria han ido hacia la baja y que en el presente mes se presenta un comportamiento mixto, esto es, hay algunas cosas que dejaron de bajar o repuntaron algo. Además, señala el señor Madgenzo que también se modifica a la baja el panorama de inflación subyacente de corto plazo por una nueva evaluación de su velocidad de convergencia esperado."
1003,2006-12-14,1277;1278;1279;1280;1281;1282,Vittorio Corbo Lioi → José De Gregorio Rebeco → Rodrigo Valdés Pulido → Andrés Velasco Brañes → Vittorio Corbo Lioi → Rodrigo Valdés Pulido,1280,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,Vicepresidente del Banco Central,"Sobre este comentario, el Vicepresidente señor De Gregorio consulta sobre lo expuesto en cuanto a que todas las tendencias inflacionarias que se tenían el mes pasado venían apuntando hacia abajo y por el otro lado, que la situación se hubiese puesto mixta, unas para abajo y otras para arriba, pero modificamos a la baja el panorama subyacente. i"
1003,2006-12-14,1277;1278;1279;1280;1281;1282,Vittorio Corbo Lioi → José De Gregorio Rebeco → Rodrigo Valdés Pulido → Andrés Velasco Brañes → Vittorio Corbo Lioi → Rodrigo Valdés Pulido,1281,Rodrigo Valdés Pulido,SUJETO_ROL_NOMBRE,Gerente de División Estudios,"El Gerente de División Estudios señor Rodrigo Valdés señala que quiere precisar, que en su opinión, no sorprende lo que pasó en este mes, amparados por la RPM anterior, pero sigue siendo cierto que la menor inflación que se ha presentado en los últimos meses no se ha revertido. Lo anterior, lleva también a revaluar la posibilidad de que el IPCX1 prontamente tome fuerza."
1003,2006-12-14,1277;1278;1279;1280;1281;1282,Vittorio Corbo Lioi → José De Gregorio Rebeco → Rodrigo Valdés Pulido → Andrés Velasco Brañes → Vittorio Corbo Lioi → Rodrigo Valdés Pulido,1282,Igal Magendzo Weinberger,SUJETO_ROL_NOMBRE,Gerente de Análisis Macroeconómico,"En materia de inversión, el Gerente señor ígal Madgenzo, señaló que las importaciones de bienes de capital siguen en cero, medidas en promedios móviles, sin embargo los últimos datos se encontrarían en cifras más positivas."
1003,2006-12-14,1277;1278;1279;1280;1281;1282,Vittorio Corbo Lioi → José De Gregorio Rebeco → Rodrigo Valdés Pulido → Andrés Velasco Brañes → Vittorio Corbo Lioi → Rodrigo Valdés Pulido,1283,Andrés Velasco Brañes,SUJETO_ROL_SESION,Ministro de Hacienda,El señor Ministro consulta qué sucedería si no se incluyera el Transantiago en los gráficos que se muestran.
1003,2006-12-14,1277;1278;1279;1280;1281;1282,Vittorio Corbo Lioi → José De Gregorio Rebeco → Rodrigo Valdés Pulido → Andrés Velasco Brañes → Vittorio Corbo Lioi → Rodrigo Valdés Pulido,1284,Igal Magendzo Weinberger,SUJETO_NOMBRE,Gerente de Análisis Macroeconómico,"El señor Madgenzo comenta que el Transantiago representa $ 120 millones de dólares. Agrega que en octubre el pick fue de $ 156 millones de dólares, en noviembre $ 68 millones de dólares y en diciembre $ 68 millones de dólares. En enero y febrero todavía había $ 40 y $ 20 millones de dólares, pero en todo caso se trata de una cifra menor. El señor Madgenzo señala que en la RPM pasada se identificó en el IPC aquellos bienes que correspondían a sectores industriales que están en esta categoría de transables y se ha apreciado que durante el 2005 se produjo una caída de los precios relativos de estos bienes que es muy importante, y el 2006 presenta una caída bastante más pronunciada."
1003,2006-12-14,1277;1278;1279;1280;1281;1282,Vittorio Corbo Lioi → José De Gregorio Rebeco → Rodrigo Valdés Pulido → Andrés Velasco Brañes → Vittorio Corbo Lioi → Rodrigo Valdés Pulido,1285,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,Presidente del Banco Central,"Sobre el particular, el Presidente señor Vittorio Corbo señala que se ha podido determinar que China desplaza a Brasil y, en consecuencia, la industria nacional que podía competir con los zapatos de Brasil no puede hacerlo con los de China porque ingresan al mercado a precios muy bajos. Se trata, en consecuencia, que están cambiando los orígenes de dónde vienen las exportaciones y eso comienza a dificultar a sectores que antes podían competir con Brasil o Corea pero no con China. Agrega que China está desplazando a otras fuentes de importación, no al producto local, pero sí le quitan el margen al mercado local."
1003,2006-12-14,1277;1278;1279;1280;1281;1282,Vittorio Corbo Lioi → José De Gregorio Rebeco → Rodrigo Valdés Pulido → Andrés Velasco Brañes → Vittorio Corbo Lioi → Rodrigo Valdés Pulido,1286,Rodrigo Valdés Pulido,SUJETO_NOMBRE,Gerente de División Estudios,"El señor Valdés señala que hay varios temas con China, pero el punto en particular, es si China exporta deflación para un mismo bien, es decir, que el mismo bien es cada vez más barato y, por tanto esto no tiene fin. En otras palabras, el mismo zapato cuesta cada año más barato. Agrega que ese no es el caso, ya que China entra normalmente a un precio para un mismo bien más barato que el resto del mundo cuando ya lo produce. Gana la cuota de mercado, pero esta seudo deflación que importamos de China no es que caiga ese bien de nuevo, sino que el precio de otro bien vuelve a caer y vuelve a ganar cuota de mercado en el mercado siguiente y así existe un efecto repartido en el tiempo de una penetración de un precio de un salto por una vez."
1008,2006-12-14,1288,José De Gregorio Rebeco,1292,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,Vicepresidente del Banco Central,"El Vicepresidente señor José De Gregorio, sobre el mismo tema indica que toda hipótesis que se espera, dada la rigidez del mercado del trabajo es que pierda vigor el empleo por cuenta propia y sea más vigoroso el empleo asalariado. Señala que no le parece tan relevante para entender lo que está pasando en el mercado laboral, porque igual el dinamismo que se observó en el período 2002-2003 resulta fuerte en empleo asalariado."
1008,2006-12-14,1288,José De Gregorio Rebeco,1293,Igal Magendzo Weinberger,SUJETO_NOMBRE,Gerente de Análisis Macroeconómico,"Por otra parte, indica el señor Madgenzo que de lo que sí se tiene certeza es que el comportamiento del empleo asalariado, se parece mucho al que se ve en otras fuentes. En consecuencia, existe cierta incertidumbre a que el empleo asalariado está teniendo ese comportamiento, constituye un crecimiento legítimo del empleo."
1010,2006-12-14,1290;1291;1292,Manuel Marfán Lewis → Rodrigo Valdés Pulido → Manuel Marfán Lewis,1295,Manuel Marfán Lewis,SUJETO_ROL_NOMBRE,Consejero,"El Consejero señor Manuel Marfán comenta que existe una tasa en la OIT, que le parece adecuada como indicador, porque hay poca costumbre de realizar una medición con la tasa de ocupación, o sea es el empleo sobre toda la población que está en edad de trabajar, porque eso es una mezcla entre tasa de participación. Agrega que tiene la impresión de que ésta es mucho más estable porque tiene más información cíclica que la tasa de desempleo, que es más bien una cuestión de sensación térmica que depende mucho de la evolución de la fuerza de trabajo. Por otra parte, señala que en el día de hoy aparece una entrevista al economista señor Mario Marcel en el Diario El Mercurio, que le parece interesante de considerar, porque cree que él está revisando la propuesta de la regla fiscal, pero dice que el Banco Central tuvo algunos problemas de política económica, principalmente, por las cifras del mercado del trabajo. Agrega el señor Marfán que sería interesante saber si efectivamente el hecho de que el INE haya cambiado las cifras de empleo, motivó el que se pudiera haber tomado una decisión distinta."
