ID_Padre,Tipo,SHA256_Texto_Padre,Version,ID,Id_Sesion,Fecha,Actor_Original,Actor_Final,Actor_Corregido,Rol_Fuente,Rol_Final,Rol_Corregido,Rol_Detectado_Texto,Rol_Lista_Asistencia,Fuente_Rol,Tipo_Acta,Fuente_Actor,Página,Texto,Tema_Original,Tema_Categoria,Palabra_Clave_Original,Palabra_Clave_Categoria,Texto_Truncado,Duplicado_Exacto,Duplicado_Formula,Nota,ID_Intervencion,Numero_Segmento,Fuente_Texto,Duplicado_Exacto_Origen,Duplicado_Formula_Origen,ID_Bloque_Texto,Estado_Revision,Motivos_Revision,ID_Turno,Relacion_Turno,ID_Antecedente_Continuidad,ID_Ancla_Actor
601,RESEGMENTACION,1c3e2866efb830e60bc2e96887522cd8a7b6557d599ed2568fd078aec39d79cf,Antes,778,RPM-2006-03-16,2006-03-16 00:00:00,Pablo García Silva,Pablo García Silva,NO,Gerente de Análisis Macroeconómico,Gerente de Análisis Macroeconómico,NO,,Gerente de Análisis Macroeconómico,LISTA_ASISTENCIA,,SUJETO_NOMBRE,2,"El señor Presidente interrumpe la sesión por diez minutos, para permitir el ingreso de un
grupo de reporteros que tomará imágenes de los miembros del Consejo con el nuevo Ministro
de Hacienda señor Andrés Velasco. Una vez realizado este cometido, se reinicia la sesión con
la exposición de don Pablo García, quien señala que durante el último mes, las condiciones
monetarias no muestran cambios significativos. Las tasas de interés reajustables de largo plazo
están en niveles similares a los vigentes al momento de la reunión pasada, y las tasas de
crecimiento anual de los distintos agregados monetarios y crediticios no sufrieron cambios
importantes, manteniéndose en niveles elevados. Sin embargo, el señor Gerente destacó el
incremento de las tasas de interés de créditos a personas y empresas. En particular, las de
consumo aumentaron 120 puntos base en febrero, ubicándose en niveles no vistos desde
comienzos del 2003. El tipo de cambio real se ubica actualmente en niveles algo por encima de
los observados hace un mes. En el transcurso de febrero, la paridad nominal se apreció hasta valores cercanos a $ 515 por dólar, volviendo a situarse algo por sobre $ 530 por dólar en lo
más reciente.
La demanda interna se prevé que sigue disminuyendo su ritmo de crecimiento, aunque desde
niveles que ahora se estiman mayores que hace un mes.
Los indicadores parciales de
consumo privado para el primer bimestre indican que las tendencias globales previstas se
mantienen, esto es una desaceleración del fuerte crecimiento del componente durable y una
mantención del habitual. La inversión, en cambio, pareciera estar desacelerándose de manera
algo más pronunciada que la prevista. En cuanto al comercio exterior, las cuentas nacionales
del 2005 y la información acumulada en el último mes redujeron el crecimiento estimado para el
volumen de las exportaciones industriales en el trimestre en curso, revirtiendo la corrección al
alza considerada el último mes.
En cuanto a la actividad, el cierre preliminar de las cuentas nacionales para el 2005 arrojó un
crecimiento del PIB igual al considerado en el escenario base del IPoM de enero. Señala el
señor García que, en enero destacó el crecimiento de la actividad industrial, el que siguió
reafirmando la transitoriedad de la desaceleración de parte del tercer trimestre del año pasado.
La actividad minera volvió a anotar caídas anuales, esta vez por la distribución de la producción
hacia productos de menor valor agregado.
Respecto de los precios, en febrero la inflación del IPCX1 siguió en línea con el escenario base
del IPoM de enero.
Al mismo tiempo, la velocidad de expansión anualizada del IPCX1 se
mantiene desde mediados del 2005 en cifras del orden de 3%. La inflación IPC, en cambio,
volvió a sorprender en febrero, esta vez con una diferencia a la baja importante respecto de lo
proyectado. Una vez más, el precio efectivo del petróleo y sus derivados fue la fuente principal
de discrepancia. Respecto de los costos laborales, en enero la tasa de crecimiento anual de las
medidas de CMO cayeron, comportamiento esperado dado el efecto sobre la base del 2005 del
cambio legal en la jornada. El incremento en doce meses de los CLU, por el contrario, volvió a
aumentar, situándose cercano a 3%, reflejo del sostenido crecimiento del empleo asalariado y
su efecto en la productividad.
Las expectativas de mercado que se deducen para la TPM a partir de la curva forward
disminuyeron levemente en el mes, esperándose que a julio la TPM se ubique en 5,25%. Para
fines de año, se prevé una TPM de 5,6% (5,8% el mes pasado). Un panorama similar señala la
EEE, con una mantención de la TPM este mes y una tasa en 5,5% a fines de año.
La
compensación inflacionaria se mantuvo en torno a 3% en el curso del mes, aunque con
movimientos pequeños en sus distintos plazos. Las encuestas a mesas de dineros tampoco
tuvieron cambios relevantes y la inflación esperada en la EEE bajó marginalmente para fines de
año, mientras a dos años sigue en 3%.","reanudación tras fotografía de prensa: condiciones monetarias, tasas de interés comerciales y tipo de cambio",mercados_financieros,condiciones monetarias y tasas comerciales,mercados_financieros,NO,NO,NO,Rol según lista de asistencia: Gerente de Análisis Macroeconómico,RPM-2006-03-16:601:1,1,XLSX_ORIGINAL,NO,NO,RPM-2006-03-16:601:B1,SIN_ALERTAS_AUTOMATICAS,,RPM-2006-03-16:T5,CONTINUIDAD_EXPLICITA,RPM-2006-03-16:600:1,RPM-2006-03-16:601:1
601,RESEGMENTACION,1c3e2866efb830e60bc2e96887522cd8a7b6557d599ed2568fd078aec39d79cf,Despues,778,RPM-2006-03-16,2006-03-16 00:00:00,Pablo García Silva,Consejo del Banco Central de Chile,SI,Gerente de Análisis Macroeconómico,Consejo,SI,,,ACTA_INSTITUCIONAL,ACTA_INSTITUCIONAL,ACTA/META,2,"El señor Presidente interrumpe la sesión por diez minutos, para permitir el ingreso de un
grupo de reporteros que tomará imágenes de los miembros del Consejo con el nuevo Ministro
de Hacienda señor Andrés Velasco. Una vez realizado este cometido, se reinicia la sesión con
la exposición de don Pablo García,","reanudación tras fotografía de prensa: condiciones monetarias, tasas de interés comerciales y tipo de cambio",mercados_financieros,condiciones monetarias y tasas comerciales,mercados_financieros,NO,NO,NO,Continuación de acta revisada: ACTA-20260908-L27-601 (data/curation/revisiones_continuaciones_acta.json; no habla personal ni cotejo PDF),RPM-2006-03-16:601:1,1,XLSX_ORIGINAL,NO,NO,RPM-2006-03-16:601:B1,PENDIENTE_REVISION,FINAL_SIN_PUNTUACION,RPM-2006-03-16:T6,INSTITUCIONAL,,
601,RESEGMENTACION,1c3e2866efb830e60bc2e96887522cd8a7b6557d599ed2568fd078aec39d79cf,Despues,779,RPM-2006-03-16,2006-03-16 00:00:00,Pablo García Silva,Pablo García Silva,NO,Gerente de Análisis Macroeconómico,Gerente de Análisis Macroeconómico,NO,,Gerente de Análisis Macroeconómico,LISTA_ASISTENCIA,,SUJETO_NOMBRE,2,"quien señala que durante el último mes, las condiciones
monetarias no muestran cambios significativos. Las tasas de interés reajustables de largo plazo
están en niveles similares a los vigentes al momento de la reunión pasada, y las tasas de
crecimiento anual de los distintos agregados monetarios y crediticios no sufrieron cambios
importantes, manteniéndose en niveles elevados. Sin embargo, el señor Gerente destacó el
incremento de las tasas de interés de créditos a personas y empresas. En particular, las de
consumo aumentaron 120 puntos base en febrero, ubicándose en niveles no vistos desde
comienzos del 2003. El tipo de cambio real se ubica actualmente en niveles algo por encima de
los observados hace un mes. En el transcurso de febrero, la paridad nominal se apreció hasta valores cercanos a $ 515 por dólar, volviendo a situarse algo por sobre $ 530 por dólar en lo
más reciente.
La demanda interna se prevé que sigue disminuyendo su ritmo de crecimiento, aunque desde
niveles que ahora se estiman mayores que hace un mes.
Los indicadores parciales de
consumo privado para el primer bimestre indican que las tendencias globales previstas se
mantienen, esto es una desaceleración del fuerte crecimiento del componente durable y una
mantención del habitual. La inversión, en cambio, pareciera estar desacelerándose de manera
algo más pronunciada que la prevista. En cuanto al comercio exterior, las cuentas nacionales
del 2005 y la información acumulada en el último mes redujeron el crecimiento estimado para el
volumen de las exportaciones industriales en el trimestre en curso, revirtiendo la corrección al
alza considerada el último mes.
En cuanto a la actividad, el cierre preliminar de las cuentas nacionales para el 2005 arrojó un
crecimiento del PIB igual al considerado en el escenario base del IPoM de enero. Señala el
señor García que, en enero destacó el crecimiento de la actividad industrial, el que siguió
reafirmando la transitoriedad de la desaceleración de parte del tercer trimestre del año pasado.
La actividad minera volvió a anotar caídas anuales, esta vez por la distribución de la producción
hacia productos de menor valor agregado.
Respecto de los precios, en febrero la inflación del IPCX1 siguió en línea con el escenario base
del IPoM de enero.
Al mismo tiempo, la velocidad de expansión anualizada del IPCX1 se
mantiene desde mediados del 2005 en cifras del orden de 3%. La inflación IPC, en cambio,
volvió a sorprender en febrero, esta vez con una diferencia a la baja importante respecto de lo
proyectado. Una vez más, el precio efectivo del petróleo y sus derivados fue la fuente principal
de discrepancia. Respecto de los costos laborales, en enero la tasa de crecimiento anual de las
medidas de CMO cayeron, comportamiento esperado dado el efecto sobre la base del 2005 del
cambio legal en la jornada. El incremento en doce meses de los CLU, por el contrario, volvió a
aumentar, situándose cercano a 3%, reflejo del sostenido crecimiento del empleo asalariado y
su efecto en la productividad.
Las expectativas de mercado que se deducen para la TPM a partir de la curva forward
disminuyeron levemente en el mes, esperándose que a julio la TPM se ubique en 5,25%. Para
fines de año, se prevé una TPM de 5,6% (5,8% el mes pasado). Un panorama similar señala la
EEE, con una mantención de la TPM este mes y una tasa en 5,5% a fines de año.
La
compensación inflacionaria se mantuvo en torno a 3% en el curso del mes, aunque con
movimientos pequeños en sus distintos plazos. Las encuestas a mesas de dineros tampoco
tuvieron cambios relevantes y la inflación esperada en la EEE bajó marginalmente para fines de
año, mientras a dos años sigue en 3%.","reanudación tras fotografía de prensa: condiciones monetarias, tasas de interés comerciales y tipo de cambio",mercados_financieros,condiciones monetarias y tasas comerciales,mercados_financieros,NO,NO,NO,"Reanudación nominal revisada: ACTA-20260908-L27-601 (data/curation/revisiones_continuaciones_acta.json; expositor nominal, sin cotejo PDF); Rol según lista de asistencia: Gerente de Análisis Macroeconómico",RPM-2006-03-16:601:2,2,XLSX_ORIGINAL,NO,NO,RPM-2006-03-16:601:B2,SIN_ALERTAS_AUTOMATICAS,,RPM-2006-03-16:T7,INICIO_EXPLICITO,,RPM-2006-03-16:601:2
2510,ADVERTENCIA_SIN_REASIGNACION,b6bd404e4738d5b185086ac4752ad8ecdc46639381120451cb58f92297ba6b2a,Antes,3529,RPM-2009-05-07,2009-05-07 00:00:00,José De Gregorio Rebeco,José De Gregorio Rebeco,NO,Presidente del Banco Central,Presidente del Banco Central,NO,,Presidente del Banco Central,LISTA_ASISTENCIA,,SUJETO_ROL_NOMBRE,4,"El Presidente señor José De Gregorio comenta que ese último efecto aparece como extraño, ya que está bien que el programa Credit Easing sea bien recibido, por cuanto va a aliviar la situación financiera, pero lo lógico sería esperar que, como consecuencia de ello la tasa larga baje. Agrega que, no obstante, lo anterior se explicaría porque lo que se está haciendo en realidad es bajar las primas. En el mismo sentido, ante la consulta del Ministro señor Velasco acerca de cuál es la lógica que funda ese resultado, el Presidente y el Consejero señor Sebastián Claro comentan que el efecto fue que el precio del bono bajó, porque lo que se está haciendo es bajar la prima de los bonos corporativos.",Acuerdo de Política Monetaria y comunicado oficial,acuerdo_comunicado,acuerdo y comunicado,acuerdo_comunicado,NO,NO,NO,Rol según lista de asistencia: Presidente del Banco Central,RPM-2009-05-07:2510:1,1,XLSX_ORIGINAL,NO,NO,RPM-2009-05-07:2510:B1,SIN_ALERTAS_AUTOMATICAS,,RPM-2009-05-07:T8,INICIO_EXPLICITO,,RPM-2009-05-07:2510:1
2510,ADVERTENCIA_SIN_REASIGNACION,b6bd404e4738d5b185086ac4752ad8ecdc46639381120451cb58f92297ba6b2a,Antes,3530,RPM-2009-05-07,2009-05-07 00:00:00,José De Gregorio Rebeco,Sergio Lehmann Beresi,SI,Presidente del Banco Central,Gerente de Análisis Internacional,SI,,Gerente de Análisis Internacional,LISTA_ASISTENCIA,,SUJETO_NOMBRE,4,"Por su parte, el señor Lehmann menciona que la lectura que se produjo obedecería a una visión más optimista de la economía y a cambios de portafolio por parte de inversionistas, que impulsaron la tasa larga hacia arriba. El Gerente de Análisis Internacional, continuando con su exposición, indica que respecto a las curvas, éstas han tendido a empinarse. Exhibe una gráfica donde se aprecia las diferencias entre un bono a diez años y un bono a dos años, en el caso de Estados Unidos, Zona Euro y Reino Unido, las cuales han tendido a aumentar. En cuanto a movimientos de TPM, destaca que han continuado los recortes, como lo refleja una gráfica que presenta y que muestra los cambios que hubo respecto a la última RPM, donde se observa que han continuado / ios ajustes, particularmente en economías emergentes. Agrega que si bien en muchos de los países exhibidos se esperan cambios adicionales, en lo sustantivo gran parte del ajuste ya se ha completado. Ante una consulta del señor í\/línistro de Hacienda acerca de la gráfica, el señor Lehmann explica que la barra completa que se muestra es el nivel que tenía la TPÍ\/I en septiembre de 2008 para los distintos países considerados. Agrega que la barra que aparece de color azul corresponde a la tasa esperada a diciembre de 2009, mostrando cuáles son los recortes que ya se han efectuado y cuáles los recortes que se esperan. Asimismo, menciona que, por ejemplo, en el caso particular de Israel, se espera que la tasa suba de aquí a diciembre. Añade que el ejercicio que se hizo fue comparar, simplemente, cuál es la TPM que se estima a partir de una Regla de Taylor y la TPM efectiva. Enfatiza que calculado de esa manera, la TPM aparece con signo negativo justamente para los países que están haciendo Quantitative Easing o Crédit easing. Ante una consulta del Presidente y del Consejero señor Sebastián Claro, el Gerente de Análisis Internacional señala que se ha usado la misma Regla de Taylor para todos los países, pero considerando respecto de cada uno sus propios datos y su correspondiente inflación target.",Acuerdo de Política Monetaria y comunicado oficial,acuerdo_comunicado,acuerdo y comunicado,acuerdo_comunicado,NO,NO,NO,Rol según lista de asistencia: Gerente de Análisis Internacional,RPM-2009-05-07:2510:2,2,XLSX_ORIGINAL,NO,NO,RPM-2009-05-07:2510:B2,SIN_ALERTAS_AUTOMATICAS,,RPM-2009-05-07:T9,INICIO_EXPLICITO,,RPM-2009-05-07:2510:2
2510,ADVERTENCIA_SIN_REASIGNACION,b6bd404e4738d5b185086ac4752ad8ecdc46639381120451cb58f92297ba6b2a,Antes,3531,RPM-2009-05-07,2009-05-07 00:00:00,José De Gregorio Rebeco,José De Gregorio Rebeco,NO,Presidente del Banco Central,Presidente del Banco Central,NO,,Presidente del Banco Central,LISTA_ASISTENCIA,,SUJETO_ROL_NOMBRE,4,"El Presidente señor José De Gregorio comenta que de acuerdo con está gráfica Brasil aparece muy abajo respecto de la TPM esperada, al igual que Hungría, mientras que el resto de los países, por ejemplo, Colombia y México, están aún por encima.",Acuerdo de Política Monetaria y comunicado oficial,acuerdo_comunicado,acuerdo y comunicado,acuerdo_comunicado,NO,NO,NO,Rol según lista de asistencia: Presidente del Banco Central,RPM-2009-05-07:2510:3,3,XLSX_ORIGINAL,NO,NO,RPM-2009-05-07:2510:B3,SIN_ALERTAS_AUTOMATICAS,,RPM-2009-05-07:T10,INICIO_EXPLICITO,,RPM-2009-05-07:2510:3
2510,ADVERTENCIA_SIN_REASIGNACION,b6bd404e4738d5b185086ac4752ad8ecdc46639381120451cb58f92297ba6b2a,Antes,3532,RPM-2009-05-07,2009-05-07 00:00:00,José De Gregorio Rebeco,Sergio Lehmann Beresi,SI,Presidente del Banco Central,Gerente de Análisis Internacional,SI,,Gerente de Análisis Internacional,LISTA_ASISTENCIA,,SUJETO_NOMBRE,4,"Ante una consulta del Presidente de la razón por la cual Chile no aparece en la gráfica exhibida, el señor Lehmann indica que Chile no figura ya que para hacerlo la Gerencia encargada de su análisis tendría que aplicar la misma metodología que utiliza la Gerencia de Análisis Internacional. No obstante, señala que si Chile estuviera incluido acá aparecería con una TPM esperada de un 1%, lo cual significa que la tasa actual se encuentra por encima de la que se esperaría conforme a la Regla de Taylor.",Acuerdo de Política Monetaria y comunicado oficial,acuerdo_comunicado,acuerdo y comunicado,acuerdo_comunicado,NO,NO,NO,Rol según lista de asistencia: Gerente de Análisis Internacional,RPM-2009-05-07:2510:4,4,XLSX_ORIGINAL,NO,NO,RPM-2009-05-07:2510:B4,SIN_ALERTAS_AUTOMATICAS,,RPM-2009-05-07:T11,INICIO_EXPLICITO,,RPM-2009-05-07:2510:4
2510,ADVERTENCIA_SIN_REASIGNACION,b6bd404e4738d5b185086ac4752ad8ecdc46639381120451cb58f92297ba6b2a,Despues,3530,RPM-2009-05-07,2009-05-07 00:00:00,José De Gregorio Rebeco,José De Gregorio Rebeco,NO,Presidente del Banco Central,Presidente del Banco Central,NO,,Presidente del Banco Central,LISTA_ASISTENCIA,,SUJETO_ROL_NOMBRE,4,"El Presidente señor José De Gregorio comenta que ese último efecto aparece como extraño, ya que está bien que el programa Credit Easing sea bien recibido, por cuanto va a aliviar la situación financiera, pero lo lógico sería esperar que, como consecuencia de ello la tasa larga baje. Agrega que, no obstante, lo anterior se explicaría porque lo que se está haciendo en realidad es bajar las primas. En el mismo sentido, ante la consulta del Ministro señor Velasco acerca de cuál es la lógica que funda ese resultado, el Presidente y el Consejero señor Sebastián Claro comentan que el efecto fue que el precio del bono bajó, porque lo que se está haciendo es bajar la prima de los bonos corporativos.",Acuerdo de Política Monetaria y comunicado oficial,acuerdo_comunicado,acuerdo y comunicado,acuerdo_comunicado,NO,NO,NO,Rol según lista de asistencia: Presidente del Banco Central,RPM-2009-05-07:2510:1,1,XLSX_ORIGINAL,NO,NO,RPM-2009-05-07:2510:B1,PENDIENTE_REVISION,PASAJES_CONJUNTOS_POR_DELIMITAR,RPM-2009-05-07:T8,INICIO_EXPLICITO,,RPM-2009-05-07:2510:1
2510,ADVERTENCIA_SIN_REASIGNACION,b6bd404e4738d5b185086ac4752ad8ecdc46639381120451cb58f92297ba6b2a,Despues,3531,RPM-2009-05-07,2009-05-07 00:00:00,José De Gregorio Rebeco,Sergio Lehmann Beresi,SI,Presidente del Banco Central,Gerente de Análisis Internacional,SI,,Gerente de Análisis Internacional,LISTA_ASISTENCIA,,SUJETO_NOMBRE,4,"Por su parte, el señor Lehmann menciona que la lectura que se produjo obedecería a una visión más optimista de la economía y a cambios de portafolio por parte de inversionistas, que impulsaron la tasa larga hacia arriba. El Gerente de Análisis Internacional, continuando con su exposición, indica que respecto a las curvas, éstas han tendido a empinarse. Exhibe una gráfica donde se aprecia las diferencias entre un bono a diez años y un bono a dos años, en el caso de Estados Unidos, Zona Euro y Reino Unido, las cuales han tendido a aumentar. En cuanto a movimientos de TPM, destaca que han continuado los recortes, como lo refleja una gráfica que presenta y que muestra los cambios que hubo respecto a la última RPM, donde se observa que han continuado / ios ajustes, particularmente en economías emergentes. Agrega que si bien en muchos de los países exhibidos se esperan cambios adicionales, en lo sustantivo gran parte del ajuste ya se ha completado. Ante una consulta del señor í\/línistro de Hacienda acerca de la gráfica, el señor Lehmann explica que la barra completa que se muestra es el nivel que tenía la TPÍ\/I en septiembre de 2008 para los distintos países considerados. Agrega que la barra que aparece de color azul corresponde a la tasa esperada a diciembre de 2009, mostrando cuáles son los recortes que ya se han efectuado y cuáles los recortes que se esperan. Asimismo, menciona que, por ejemplo, en el caso particular de Israel, se espera que la tasa suba de aquí a diciembre. Añade que el ejercicio que se hizo fue comparar, simplemente, cuál es la TPM que se estima a partir de una Regla de Taylor y la TPM efectiva. Enfatiza que calculado de esa manera, la TPM aparece con signo negativo justamente para los países que están haciendo Quantitative Easing o Crédit easing. Ante una consulta del Presidente y del Consejero señor Sebastián Claro, el Gerente de Análisis Internacional señala que se ha usado la misma Regla de Taylor para todos los países, pero considerando respecto de cada uno sus propios datos y su correspondiente inflación target.",Acuerdo de Política Monetaria y comunicado oficial,acuerdo_comunicado,acuerdo y comunicado,acuerdo_comunicado,NO,NO,NO,Rol según lista de asistencia: Gerente de Análisis Internacional,RPM-2009-05-07:2510:2,2,XLSX_ORIGINAL,NO,NO,RPM-2009-05-07:2510:B2,SIN_ALERTAS_AUTOMATICAS,,RPM-2009-05-07:T9,INICIO_EXPLICITO,,RPM-2009-05-07:2510:2
2510,ADVERTENCIA_SIN_REASIGNACION,b6bd404e4738d5b185086ac4752ad8ecdc46639381120451cb58f92297ba6b2a,Despues,3532,RPM-2009-05-07,2009-05-07 00:00:00,José De Gregorio Rebeco,José De Gregorio Rebeco,NO,Presidente del Banco Central,Presidente del Banco Central,NO,,Presidente del Banco Central,LISTA_ASISTENCIA,,SUJETO_ROL_NOMBRE,4,"El Presidente señor José De Gregorio comenta que de acuerdo con está gráfica Brasil aparece muy abajo respecto de la TPM esperada, al igual que Hungría, mientras que el resto de los países, por ejemplo, Colombia y México, están aún por encima.",Acuerdo de Política Monetaria y comunicado oficial,acuerdo_comunicado,acuerdo y comunicado,acuerdo_comunicado,NO,NO,NO,Rol según lista de asistencia: Presidente del Banco Central,RPM-2009-05-07:2510:3,3,XLSX_ORIGINAL,NO,NO,RPM-2009-05-07:2510:B3,SIN_ALERTAS_AUTOMATICAS,,RPM-2009-05-07:T10,INICIO_EXPLICITO,,RPM-2009-05-07:2510:3
