"ID_Intervencion","Actor","Grupo_Publicado","Grupo_Solo_Escenario","Estado"
"RPM-2009-11-12:2796:3","Enrique Marshall Rivera","RPM-2009-11-12:T70","RPM-2009-11-12:T69","SIMULADO_NO_APLICADO"
"RPM-2009-11-12:2797:1","Enrique Marshall Rivera","RPM-2009-11-12:T70","RPM-2009-11-12:T69","SIMULADO_NO_APLICADO"
"RPM-2010-03-18:3012:3","Beltrán de Ramón Acevedo","RPM-2010-03-18:T71","RPM-2010-03-18:T70","SIMULADO_NO_APLICADO"
