"ID_Intervencion","ID_Padre","Fecha","Actor_Izquierda","Actor_Derecha","Estado_Lectura","Revision_ID","Motivo_Original","Reservas","Final_Izquierda","Inicio_Derecha"
"RPM-2006-03-16:601:1","601","2006-03-16","Consejo del Banco Central de Chile","Pablo García Silva","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","mitir el ingreso de un
grupo de reporteros que tomará imágenes de los miembros del Consejo con el nuevo Ministro
de Hacienda señor Andrés Velasco. Una vez realizado este cometido, se reinicia la sesión con
la exposición de don Pablo García,","quien señala que durante el último mes, las condiciones
monetarias no muestran cambios significativos. Las tasas de interés reajustables de largo plazo
están en niveles similares a los vigentes al momento de la reunión pasada, y las tasas d"
"RPM-2006-05-11:658:1","658","2006-05-11","Vittorio Corbo Lioi","Enrique Marshall Rivera","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El señor Presidente ofrece la palabra para comentarios respecto a la exposición de la parte internacional,","El Consejero señor Marshall, consulta cuál es la evaluación de la trayectoria del spread de Chile, que aparece subiendo algo y distanciándose de otros puntos de referencia, como son China, Hungría, Polonia, y otros."
"RPM-2008-03-13:1737:1","1737","2008-03-13","Jorge Desormeaux Jiménez","Sebastián Claro Edwards","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Vicepresidente señor Jorge Desormeaux señala que se suma a la mayoría antes mencionada,","y el Consejero señor Sebastián Claro manifiesta que mantiene su votación consistente en subir la Tasa de Política Monetaria a 6,50%."
"RPM-2008-06-10:1901:2","1901","2008-06-10","Consejo del Banco Central de Chile","José De Gregorio Rebeco","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","Siendo las 16:00 horas, se reanuda la Sesión de Política Monetaria N °124,","El Presidente señor José De Gregorio ofrece la palabra al Gerente de División Estudios señor Pablo García a fin que presente las Opciones de Política Monetaria para esta Reunión."
"RPM-2008-10-09:2112:3","2112","2008-10-09","Consejo del Banco Central de Chile","José De Gregorio Rebeco","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","Siendo las 16;00 horas, se reanuda la Sesión de Política Monetaria N° 129,","El Presidente señor José De Gregorio fija la Reunión de Política Monetaria del mes de abril de 2009, para el día jueves 9. Posteriormente, ofrece la palabra al Gerente de División Estudios señor Pablo García para que presente las Opciones d"
"RPM-2009-05-07:2532:3","2532","2009-05-07","Manuel Marfán Lewis","Claudio Soto Gamboa","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","elante. Si es todavía una reducción deseada de inventarios, entonces se está hablando de otra cosa, pero advierte que no se cuenta con buenas cifras de inventarios, sin que esto último sea una crítica a la Gerencia de División Estadísticas,","El Gerente de Análisis Macroeconómico señor Claudio Soto señala que la única evidencia disponible es la encuesta que para el mes de abril todavía muestra que los inventarios están por sobre lo deseado."
"RPM-2009-06-16:2555:1","2555","2009-06-16","Enrique Marshall Rivera","Manuel Marfán Lewis","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Consejero señor Enrique Marshall consulta si en el caso de Chile las importaciones de bienes de capital también están aumentando,","a lo cual el Consejero Manuel Marfán comenta que ellas están rebotando más que subiendo"
"RPM-2009-06-16:2556:2","2556","2009-06-16","Sebastián Claro Edwards","Sergio Lehmann Beresi","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Consejero Sebastián Claro consulta acerca de las razones por las que se califica como una sorpresa,","a lo cual el señor Lehmann responde que ello obedece a que las cifras resultantes fueron peores que las esperadas. El Gerente de Análisis Internacional continúa informando que, por primera vez después de casi un año, se han estado revisando"
"RPM-2009-06-16:2588:1","2588","2009-06-16","Sebastián Claro Edwards","Claudio Soto Gamboa","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Consejero señor Sebastián Claro consulta acerca del porcentaje del alza de los combustibles que se explicará por el impuesto específico que se está postergando,","a lo que el Gerente de Análisis Macroeconómico responde que debería subir 2,5%, esto es, una UTM o experimentar aumentos del orden de 50 pesos, luego de lo cual existirían otros del orden de 50 ó 70 pesos, aproximadamente, que se traducen e"
"RPM-2009-07-09:2613:2","2613","2009-07-09","Pablo García Silva","Manuel Marfán Lewis","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","s, y que sólo luego de un par de trimestres se podría constatar si ello es sostenible o no por el lado de la demanda más perdurable. En su opinión, si se aprecia que el aumento no ha retomado mucho dinamismo, se puede dar un segundo rebote,","a lo cual el Consejero señor Marfán sostiene que el efecto de inventarios sería, en tal caso, un greenshoot."
