ID_Turno,Fecha,Anio,Actor_Final,Rol_Final,Grupo_Actor,Naturaleza_Turno,Palabras,Lex_Score,HD_Score_Modelo,HD_Clase_Modelo,Margen,HD_Confianza_Modelo,En_Universo_Entrenado,En_Muestra_500,HD_Score_Oro,HD_Clase_Oro
RPM-2010-02-11:T105,2010-02-11,2010,Kevin Cowan Logan,Gerente de División de Política Financiera,STAFF,INTERVENCION,27,0.0,0.01,NEUTRAL,0.5103,0.6769,false,false,,
RPM-2010-02-11:T106,2010-02-11,2010,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,19,0.0,-0.0639,DOVISH,0.0639,0.4284,false,false,,
RPM-2010-02-11:T107,2010-02-11,2010,Kevin Cowan Logan,Gerente de División de Política Financiera,STAFF,INTERVENCION,235,0.0,-0.006,NEUTRAL,0.9783,0.9875,true,false,,
RPM-2010-02-11:T108,2010-02-11,2010,Pablo García Silva,Gerente de División Estudios,STAFF,INTERVENCION,13,0.0,-0.0088,NEUTRAL,0.9627,0.978,false,false,,
RPM-2010-02-11:T109,2010-02-11,2010,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,19,0.0,-0.0636,NEUTRAL,0.7575,0.8595,false,false,,
RPM-2010-02-11:T110,2010-02-11,2010,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,INTERVENCION,149,0.0,-0.0358,NEUTRAL,0.7969,0.8766,false,false,,
RPM-2010-02-11:T111,2010-02-11,2010,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,277,0.0,-0.0023,NEUTRAL,0.8755,0.9177,true,false,,
RPM-2010-02-11:T112,2010-02-11,2010,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,58,0.0,-0.2714,DOVISH,0.03,0.4338,false,false,,
RPM-2010-02-11:T113,2010-02-11,2010,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,37,0.0,-0.0623,NEUTRAL,0.8243,0.9036,false,false,,
RPM-2010-02-11:T114,2010-02-11,2010,Pablo García Silva,Gerente de División Estudios,STAFF,INTERVENCION,1256,0.2308,0.0092,NEUTRAL,0.7138,0.8123,true,false,,
RPM-2010-02-11:T115,2010-02-11,2010,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,18,0.0,-0.0754,NEUTRAL,0.6808,0.8123,false,false,,
RPM-2010-02-11:T116,2010-02-11,2010,Beltrán de Ramón Acevedo,Gerente de División Operaciones Financieras,STAFF,INTERVENCION,957,-0.5,0.1166,NEUTRAL,0.7393,0.865,true,false,,
RPM-2010-02-11:T117,2010-02-11,2010,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,215,-0.3333,-0.3901,NEUTRAL,0.1943,0.5929,true,false,,
RPM-2010-02-11:T118,2010-02-11,2010,Kevin Cowan Logan,Gerente de División de Política Financiera,STAFF,INTERVENCION,159,0.0,-0.1227,NEUTRAL,0.3659,0.6182,true,false,,
RPM-2010-02-11:T119,2010-02-11,2010,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,19,0.0,-0.7406,DOVISH,0.74,0.8269,false,false,,
RPM-2010-02-11:T120,2010-02-11,2010,Rodrigo Vergara Montes,Consejero,CONSEJO,INTERVENCION,648,-0.4286,-0.0222,NEUTRAL,0.9158,0.9513,true,true,0.0,NEUTRAL
RPM-2010-02-11:T121,2010-02-11,2010,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,18,0.0,0.0992,NEUTRAL,0.6529,0.8017,false,false,,
RPM-2010-02-11:T122,2010-02-11,2010,Sebastián Claro Edwards,Consejero,CONSEJO,INTERVENCION,729,0.5,-0.007,NEUTRAL,0.8469,0.9002,true,true,0.25,NEUTRAL
RPM-2010-02-11:T123,2010-02-11,2010,Enrique Marshall Rivera,Consejero,CONSEJO,INTERVENCION,1005,-0.4545,0.0611,NEUTRAL,0.7501,0.8538,true,false,,
RPM-2010-02-11:T124,2010-02-11,2010,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,INTERVENCION,426,0.3333,0.0206,NEUTRAL,0.7738,0.8561,true,false,,
RPM-2010-02-11:T125,2010-02-11,2010,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,700,0.5,-0.0771,NEUTRAL,0.6182,0.7711,true,true,0.0,NEUTRAL
RPM-2010-02-11:T126,2010-02-11,2010,Consejo del Banco Central de Chile,Consejo,CONSEJO,INSTITUCIONAL,235,0.0,0.0284,NEUTRAL,0.6518,0.7773,false,false,,
RPM-2010-02-11:T127,2010-02-11,2010,Consejo del Banco Central de Chile,Consejo,CONSEJO,INSTITUCIONAL,20,0.0,-0.5616,DOVISH,0.2796,0.6137,false,false,,
RPM-2010-03-18:T1,2010-03-18,2010,Consejo del Banco Central de Chile,Consejo,CONSEJO,INSTITUCIONAL,244,0.0,-0.2427,NEUTRAL,0.3232,0.6297,false,false,,
RPM-2010-03-18:T2,2010-03-18,2010,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,51,0.0,-0.4225,NEUTRAL,0.0071,0.4789,false,false,,
RPM-2010-03-18:T3,2010-03-18,2010,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,23,0.0,-0.1952,NEUTRAL,0.5002,0.7319,false,false,,
RPM-2010-03-18:T4,2010-03-18,2010,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,INTERVENCION,1120,0.0,-0.5012,DOVISH,0.0124,0.5046,true,false,,
