"ID_Intervencion","ID_Padre","Fecha","Actor_Final","Institucional","Fuente_Actor","Caracteres","Otras_Personas_Roster","Nombres","Motivos_Revision","Alerta_Motor","Leida_En_Lote9","Veredicto"
"RPM-2015-08-13:6979:1","6979","2015-08-13","Consejo del Banco Central de Chile","SI","ACTA/META","151","2","Enrique Marshall Rivera; Rodrigo Vergara Montes","","NO","NO",""
"RPM-2015-09-15:6980:1","6980","2015-09-15","Consejo del Banco Central de Chile","SI","ACTA/META","1453","13","Alberto Naudon Dell'Oro; Beltrán de Ramón Acevedo; Claudio Soto Gamboa; Diego Gianelli Gómez; Elías Albagli Iruretagoyena; Enrique Orellana Cifuentes; Gloria Peña Tapia; Juan Pablo Araya Marco; Matías Bernier Bórquez; Miguel Fuentes Díaz; Pablo García Silva; Rodrigo Vergara Montes; Sebastián Claro Edwards","","NO","NO",""
"RPM-2015-09-15:6981:1","6981","2015-09-15","Rodrigo Vergara Montes","NO","SUJETO_ROL_NOMBRE","488","1","Diego Gianelli Gómez","","NO","SI","UNA_SOLA_VOZ"
"RPM-2015-09-15:7000:1","7000","2015-09-15","Rodrigo Vergara Montes","NO","SUJETO_ROL_NOMBRE","153","1","Diego Gianelli Gómez","","NO","SI","UNA_SOLA_VOZ"
"RPM-2015-10-15:7047:1","7047","2015-10-15","Consejo del Banco Central de Chile","SI","ACTA/META","1601","15","Alberto Naudon Dell'Oro; Beltrán de Ramón Acevedo; Claudio Raddatz Kiefer; Claudio Soto Gamboa; Diego Gianelli Gómez; Elías Albagli Iruretagoyena; Enrique Orellana Cifuentes; Gloria Peña Tapia; Juan Pablo Araya Marco; Matías Bernier Bórquez; Miguel Fuentes Díaz; Pablo García Silva; Rodrigo Valdés Pulido; Rodrigo Vergara Montes; Sebastián Claro Edwards","","NO","NO",""
"RPM-2015-10-15:7048:1","7048","2015-10-15","Rodrigo Vergara Montes","NO","SUJETO_ROL_NOMBRE","488","1","Diego Gianelli Gómez","","NO","SI","UNA_SOLA_VOZ"
"RPM-2015-10-15:7067:1","7067","2015-10-15","Rodrigo Vergara Montes","NO","SUJETO_ROL_NOMBRE","140","1","Diego Gianelli Gómez","","NO","SI","UNA_SOLA_VOZ"
"RPM-2015-11-12:7112:1","7112","2015-11-12","Consejo del Banco Central de Chile","SI","ACTA/META","1515","12","Claudio Soto Gamboa; Diego Gianelli Gómez; Elías Albagli Iruretagoyena; Enrique Orellana Cifuentes; Gloria Peña Tapia; Juan Pablo Araya Marco; Mario Marcel Cullell; Matías Bernier Bórquez; Miguel Fuentes Díaz; Pablo García Silva; Rodrigo Vergara Montes; Sebastián Claro Edwards","","NO","NO",""
"RPM-2015-11-12:7113:1","7113","2015-11-12","Rodrigo Vergara Montes","NO","SUJETO_ROL_NOMBRE","487","1","Diego Gianelli Gómez","","NO","SI","UNA_SOLA_VOZ"
"RPM-2015-11-12:7120:1","7120","2015-11-12","Rodrigo Vergara Montes","NO","SUJETO_ROL_NOMBRE","140","1","Diego Gianelli Gómez","","NO","SI","UNA_SOLA_VOZ"
"RPM-2015-12-17:7157:1","7157","2015-12-17","Consejo del Banco Central de Chile","SI","ACTA/META","1566","14","Alberto Naudon Dell'Oro; Beltrán de Ramón Acevedo; Claudio Raddatz Kiefer; Claudio Soto Gamboa; Diego Gianelli Gómez; Enrique Orellana Cifuentes; Gloria Peña Tapia; Juan Pablo Araya Marco; Mario Marcel Cullell; Matías Bernier Bórquez; Miguel Fuentes Díaz; Pablo García Silva; Rodrigo Vergara Montes; Sebastián Claro Edwards","","NO","NO",""
"RPM-2015-12-17:7158:1","7158","2015-12-17","Rodrigo Vergara Montes","NO","SUJETO_ROL_NOMBRE","488","1","Diego Gianelli Gómez","","NO","SI","UNA_SOLA_VOZ"
"RPM-2015-12-17:7178:1","7178","2015-12-17","Rodrigo Vergara Montes","NO","SUJETO_ROL_NOMBRE","140","1","Diego Gianelli Gómez","","NO","SI","UNA_SOLA_VOZ"
"RPM-2015-12-17:7219:1","7219","2015-12-17","Consejo del Banco Central de Chile","SI","ACTA/META","159","2","Rodrigo Vergara Montes; Sebastián Claro Edwards","","NO","NO",""
